date,content
0,사용 후기를 통해 쉽게 예매할 수 있어 좋아요
1,세금 포함 최종 가격 올려주는 기능은 없나요 혼동되네요
2,저렴한 가격 최고의 어플
3,저렴한 가격에 좋은 곳을 소개받을 수 있어 좋아요
4,내용들이 선택하기 좋게 잘 되어 있어요
5,최악의 어플이네 요 카드 결제는 되었는데 어플은 완료 창으로 넘어가지도 않고 기술적인 문제가 있다는 메시지만 뜨네요 이런 경우 카드 결제가 안 되는 게 정상 아닌가요 여행 가기도 전에 정말 짜증 나게 하는 어플 이런 어플 더 피해 보지 않게 조치하세요 우리만 그런 게 아닌 것 같은데 별은 안 주고 싶은데 진행이 안되는 관계로 개 투척
6,호텔 가격 리뷰 장난치지 마세요
7,뭐냐 이거 요금 짜증 나네만 얼마 뜨길래 결제했더니 만 얼마에서 캐시백 해서 만원
8,진짜 최악이네요 예약 시 환불 불가인 경우 안내 창이라도 뜨게 하세요 장바구니에서 여러 개 담고 결제하는 경우 그냥 바로 결제되어버리니 환불 불가인지 확인할 수 없습니다 게 다가 결제 후 초만에 취소하려고 해도 취소가 안 됩니다 국내 예약사는 일정 기간은 취소가 되도록 해놨는데 아고다는 정말 악질적입니다 밀어서 결제하기도 환불 불가인 경우 순간 터치 한 번에 수십만 원 수백만 원이 날아갈 수 있으니 조심하세요
9,상세한 숙박시설 정보와 안전한 예약으로 어플 이용에 만족합니다
10,잘 이용하겠습니다 감사합니다
11,편리하고 저렴합니 다 추천할게요
12,가장 저렴합니다
13,항상 이용하는 아고다 제일 저렴한 곳이에요
14,비회원으로 예약했는데 결제는 됐는데 이메일로 예약번호도 안 오고 전화 연결은 또 안 되는데 뭐 돈만 날리라고 만든 건지 알 수가 없네요
15,호텔 예약 앱 중에 제일 싼 거 같아요
16,편하고 다른 어플보다 가격이 싸요
17,저렴해서 좋아요
18,가격이 좋습니다
19,가장 빠르고 정확합니다
20,어플이 중결제 사기 호텔 월 예약한 게 월에 또 이중 결제당해서 바로 당일 문의했으나 결제 취소는 여행 온 이 순간도 안 되고 있음 그냥 자기들 설계로 사기 치는 때 곧 있으면 고발해서 압류시키든가 대통령 민원 넣어야지 경찰서부터 들려서 고발 들어갑니다 민사소송은 별 도구요 나는 시간도 많고 돈도 있다 각오해라
21,장소 가격 모두 만족한 선랙이에요
22,편하고 선택지가 많아요
23,아고다는 문제 발생 시 해결이 안 됩니다 서비스도 형편없고 고객센터는 아예 전화 자체가 안 되고 전 이번을 끝으로 아고다는 삭제할 예정입니다
24,가격 업데이트가 빠르고 정확하군요
