date,content,score,at
0,good,5,20230109180233
1,gg,4,20230109173925
2,너무 저렴하니 좋습니다.,5,20230109164020
3,캐시백 미적용가격으로 볼수있게 하는기능 필요할듯,4,20230109143521
4,결제 가 이상하게 됨 분명 40만원이 1시간 간격으로 2번 결제 됐는데 환불 했더니 한번치만 들어오고 2번째꺼 안들어오네,1,20230109095449
5,호텔을 편리하게 찾을 수 있어 좋아요,5,20230108202043
6,good,5,20230108194648
7,항상 좋은 가격 감사합니다.,5,20230108155451
8,세금 봉사료 붙은가격으로 가격 띄워 놓으세욤,1,20230108155309
9,아주 좋아요,5,20230108141513
10,제가 사용한 앱중 제일 저렴하게 이용할수 있습니다,5,20230108081331
11,good,4,20230107125141
12,본 가격과 결제금액이 다름 3.8만원보고 결제했는데 5만원 결제되네요.,1,20230107075524
13,리워드를 받는다면 좋은 가격에 구매한거같아요,3,20230107031257
14,예약하기 쉬워요,5,20230107000025
15,굿굿굿굿굿,5,20230106191944
16,편리하네요.. 호텔 종류도 많고,5,20230106174402
17,다른타사보다 굉장히 저렴합니다,5,20230106174202
18,가격비교 없이도 최저가 입니다,5,20230106171622
19,좋아요 😀,5,20230106120828
20,방금 140000원 날렸네요...어플 진짜 거지같네요.. 예약확정페이지는 계속 로딩중이도고 취소불가 예약이라 취소도안되고 호텔은 에이전시에 얘기하라하고 아고다는 니잘못이라하고 무슨 동네 모텔도 이것보다는 좋겠네요..ㅡㅡ한두번도아니고 결제딜레이되서 어플닫았는데 결제되었으니 예약확인안하고 예약메일확인안했으니 환불불가하다고 얘기하고 차라리 기부를하라고하면 기분이라도 덜드럽겠는데 여행중에 이런일 발생하면 진짜 시간내서 기분좋게간 여행 다 망치고 기분더럽네요 다시는 사용안할어플입니다. 어떻게든 주변사람에게 말려야겠어요..정말 한두번아니었는데 이렇게 직접 당하니 정말 열받네요.최악입니다.,1,20230106095241
21,I can't key in card number on the blank in payment page,3,20230106005158
22,요금이 분단위로 바껴서 짜증나요...,2,20230106004456
23,Good,5,20230105235925
24,좋아요,5,20230105213511
25,프로모션이 많아요~,5,20230105162914
26,굿,5,20230105150831
27,아고다는 사용하면 안됨 패키지 상품 사고 다음날 취소를 했는데 2주지나도록 연락없다가 간신히 재촉연락하니 수수료 수십만원 물어야한다고함 이업체는 없어져야할 업체임 차라리 야놀자 익스피디어 여기어때등을 사용해야함 다른곳은 겁나 빠르고 친절함 아고다는 없어져야함,1,20230105132444
28,할인도 많이 되고 정보도 좋네요 감사합니다,5,20230105110812
29,너무 저렴하고 좋아요,5,20230104231731
30,"가격, 편리성 뛰어남.",5,20230104225739
31,업데이트 이후 페이스북을 통한 로그인이 안되고 있음,1,20230104182651
32,할인혜택이 있어서 다른 싸이트보다 더 저렴합니다,4,20230104163051
33,굿,5,20230104133458
34,굉장히 예약이 빠르고 편리합니다. ㅎㅎ,5,20230104120751
35,성명이 다르게 가입 되어 있는데 수정을 어떻게 하나요?,5,20230104102639
36,믓찜~^^,5,20230104090954
