date,content,score,at
0,편리합니다,5,20230107122726
1,예약하기도 취소하기도 불편함 해외 원화 결제로 이중 수수료 뭐임?,1,20230107103703
2,Airbnb support team was so helpful when I had problem checking in. Without their help I would've be left lost in the city of foreign country. I truely appreciate support team's assistance and I look forward to my future trips with Airbnb.,5,20230107021510
3,숙소찾기가 편리하고 좋습니다,5,20230107020055
4,아니 이거 예약하려는데 핸드폰등록한적이 없는데 등록이 되어있다고 하는데 인증횟수도 초과해서 안된다는데 이게 무슨경우죠??,1,20230106210609
5,여행갈때 자주 이용함,5,20230106174336
6,너무 가성비가 좋음,5,20230106154406
7,너무 좋네요,5,20230106144933
8,계속 인증만 하고 결제안됨,1,20230105222633
9,신분인증절차철저,5,20230105095351
10,"검색하기 편하고 빠른 확인이 되어, 좋은것 같아요.~ 그리고 마음에 드는 곳이 많아서 좋아요.^^",5,20230104203710
11,기존 고지한 금액보다 많이받는데 이유가 해외결제통해서 달러로 환전한 다음 금액을 받아서라네요 그러면 그 예상금액을 적어놓던지 카드사 문제라고 둘러대기만하네,1,20230104124104
12,"숙소찾을때 정보가부족하고, 호스트들이 의무적으로 올려야하는 정보항목들을 규격화해서 비교선택할수있도록해야합니다. 호스트들이 자기약점들은 감추고 똑같은 사진을 여러장올려서 소비자가 판단하기 너무어려워요. 개선사항 1.의무적으로올릴사진 규격화 2.중요지형지물까지 도보로 얼마거리에위칩표기 3.아파트일경우 몇층건물에 몇층 엘리베이터여부표기 4.한공간전체사용가능한건지,공유하는지분명하게 기록안됨 5.에어비엔비도 숙소선택할때 판단할수있도록 위치를 좀더정확하게 알려줄의무가있어요. 6.환불정책 아주나쁘다 3개월전에 두달살기로 예약했는데,48시간 지나서 취소하면 30일분을 손해본다는건 너무불합리하고 비도덕적이고 고객을 무시하는 정책이라고 생각합니다.",2,20230103160203
13,아주 잘 활용하고 있습니다,5,20230102234055
14,신분증 촬영등이 너무 불편합니다 개인 정보를 너무 많이 요구하네요,2,20230102223624
15,가족여행시 숙소정할때 최곱니다~,5,20230102195436
16,아니 장난합니까 금융기관도 아니고 신분증 여권 면허증등 찍어라는데 몇년 전에 찍은 얼굴이랑 지금 당장 얼굴이랑 같습니까 ? 판정도 제대로 안되고 면허증 신분증도 제대로 안 찍히는데 금융기관도 아니면서 인증을 해야되는게 진짜 개같네여 ^^,1,20230102180619
17,처음인데 기대되네요,4,20230102132710
18,예약 과정에서 개인 정보 요구사항이 너무 많네요.,1,20230101232748
19,적어보 신분증을 요구할거면 자동인식 기능이 좋거나 최소한다른 회사처럼 중요정보는 가려지는 기능을 적용해야지 너무 후졌어요,1,20230101184214
20,좋아요,5,20230101162226
21,사진 촬영이 다소 불편합니다,3,20230101122900
22,"신분증 인증 사진을 도대체 얼마나 선명하게 찍어 올리라는 겁니까??? 다섯 번째 다시 올리라고 하는데, 이미 더할 나위 없이 선명합니다. / 결제금액보다 1만원이 더 결제되었길래 문의했더니 '추가적으로 부과된 금액은 카드사에서 부과한 해외 결제 수수료로 보입니다.에어비앤비는 해외 플랫폼으로써, 비록 여행지가 국내일지라도 이용중이신 카드사에서 에어비앤비와의 결제를 해외 결제로 인식하게 되면, 수수료를 부과하는 경우가 있습니다.' ;;; 국내카드로 국내업소 결제했는데, 해외사용 수수료가 붙는 거는 우린 모르겠으니까 카드사 문의해 봐라는 답변이 최선인지요?? 이런 문제는 에어비앤비 측이 미리 카드사랑 협의해 두던지. 해외수수료 붙을 수 있다고 미리 공지를 하던지",1,20221231184330
23,thet are getting too much info by mobile,2,20221230162613
24,그냥 맘에 안듬,1,20221230161934
25,편리하나 강비절차가 복잡하고 시간이 소요됨,4,20221229171706
26,저 같은 피해자가 생기지 않길 간절히 바라는 마음으로 리뷰를 씁니다. 환불정책을 꼭 확인하고 결제하세요.. 외관으로 노출되어 있지 않아 직접 누르고 들어가야 확인할 수 있습니다. 예약한 당일날 취소해도 50% 환불밖에 안되는 엄격 환불정책이라는 것을 악용하여 돈을 갈취하는 호스트들이 있습니다. 전화해서 문의하면 모두 호스트의 권한이라는 말만하고 아무런 조치를 못 취하는게 에어비엔비의 관리체계랍니다. 처음으로 에어비엔비 결제했다가 돈만 날렸네요. 다시는 사용하지 않을 플랫폼입니다.,1,20221229104106
27,좋은것같아요,5,20221228010530
28,인증부터 너무나도 많은 문제가 있어요,1,20221227202305
29,인증 오지게하네요,5,20221227180457
30,다른 호텔 예약 앱들과는 다르게 신선하네요,5,20221227101843
31,Easy to use. Thanks 😊,5,20221227022547
32,환불 어이 없다 호스트가 취소하래서 해줬더니 호스트가 취소해야 된다고 말해더니 계속 쌩깜 고객센터도 호스트 타령만하고 호스트 방 1000000000개 등록해서 환불 거부만 해도 얼마야,1,20221227020356
33,좋은호스트 만나면 최고에요,5,20221226195907
34,"보안 확인 할때 주사위 윗면 숫자가 합쳐서 14인것을 고르라는데 14는없고 뭔 16 , 15 이러는데 걍 가입하지 말라는거 같아서 개 빡쳐서 지움요 거지같은 시스템 14를 만들어놓고 고르라 하던가 이게 뭔 똥개 훈련인지 ㅋㅋ",1,20221224210029
35,환불ㅋ 할많하않 리뷰보니 저같은분많네요. 야놀자쓰겠습니다,1,20221224143302
36,예약 확정 결제 인줄 알고 카드번호 다 입력하니 기다리래... 개인정보 다 가져가놓고.. 뭐여~ 예약 확정 후 결제하는것으로 바꿔라 개인정보 다 입력한게 찝찝하다,1,20221223234715
37,고객을 전혀 배려하지 않는 악성 기업입니다. 다른 어플 사용하세요,1,20221223214950
38,전화번호 인증안됨,1,20221223145904
39,넘 좋아요,5,20221223145001
40,10분만에 50만원 날린 어플~~ 당일은 확실한거 아님 절대 하지마세요 밤 10시에 숙소 결제하고 10분만도 안돼서 취소 했는데 수수료로 55만원 날렸어요 숙소 3일치 예약했다가 바로 취소했는데 집주인이 승인 안해주면 다 날리는 구조... 집주인이 먼저 취소 요청하라고 했는데도 배째라 돈 못준다 에어비앤비 정책이다 그래요 에어비앤비는 집주인이 승인 안하면 못돌려준다 중간에거 책임을 하나도 안질꺼면 수수료로 뭐그리 많이 떼먹죠? 뭐 당일은 그렇다고 칩시다 근데 나머지 2일치까지 어떻게 다까죠... 당일은 환불 0퍼 다음날1 다담날은 50퍼 ... 열받아 죽는줄 알았네...하,1,20221222155725
41,대한민국에서 하기가 불편함,2,20221220200414
42,불편함,1,20221219090420
43,사용하기 편하고 좋음,5,20221218163101
44,편리하고 최고네요,5,20221218103335
45,해외에서 원화로 승인이 되어요. 몰랐어요. 해외 원화 결재 싫어하거든요. 그래서 예약하자마자 바로 취소하려하니 9일 전인데 50프로만 환불이래요. 도움요청 메뉴나 의견 남기기 가도 안내를 못찾겠네요. 결국 그냥 숙박하러 가고 이번 숙박 지나면 앱 삭제하려고요.,1,20221217191941
46,로그인부터가 안되는데 뭘하라는 건지,1,20221216135027
47,진짜 앱이나 사이트 자체가 허술하다고 보여집니다 절대로 카드사에 해외결제 해놓지 마시고 호스트가 개인대화로 현금결제를 요구합니다 하지 마세요 그냥 준비가 안된 어플과 사이트라 너무 사기를 당하는 사람들이 많을것 같아서 글 씁니다 사이트 들어가면 초기에 주의하는 글을 적어놓을 만도 한데 하나도 없고 그냥 초반부터 숙박사진만 엄청 올라와 있어요 그래도 이 앱을 사용하려고 하신다면 어플에서 자세한 내용들을 찾아보고 호스트에게 당하는사람 없으셨으면 합니다 저는 한번 현금결제를 당하고나서 글 쓰는거니 알아서 잘 대처하시고 좋은여행 하셨으면 좋겠네요 호스트가 현금결제를 요구하면 돈 보내주시지 마시고 그 호스트를 신고해 주세요 증거도 남겨두시구요 호스트에게 현금결제를 하시고 나중에 불상사가 일어나 환불받고 싶어도 못받습니다 메세지를 보내도 돈을 보낸뒤엔 읽고 씹어버리니 조심하세요 다른 사람들이 안전하고 싶으시다면 꼭 읽어 보십시오,1,20221216000710
48,좋아요,5,20221215172422
49,넘 좋아요,5,20221215161046
50,좋아요 ^^,5,20221214150452
51,카드추가는 카드번호를 100번 해야 합니다,1,20221213160724
52,"호스트 인데요, 업데이트 이후 예약에 대한 메모 작성시 한글이.제대로 타이핑되지 않습니다. 예) 트립 - ㅌㅡㄹㅣㅂ 이런식으로만 됩니다. 해결방법 없나요?",3,20221213102733
53,하라는게 왜이리 많아 개개인이 해야되는거라 확실하게 뭐 그런건 알겠는데 엄청 불편,1,20221212204506
54,답변이 늦음,3,20221212185759
55,안전하게 멋진경험이 가능함,5,20221212184002
56,진짜 별로네요,1,20221209202914
57,귀찮게 자꾸인증,1,20221208093847
58,좋아요,4,20221207201710
59,신분증 인식 더럽게 안됨,1,20221207201656
60,좋아용,5,20221206183509
61,개 불편함..,1,20221206100420
62,에어비엔비 호스트입니다 스마트워치 에서도 어플활용 가능할까요,5,20221205153449
63,쉽게 결제하고 이용하기 어려움.오류에 대한 자세한 설명 부족,2,20221203143828
64,앱이용이 불편하네요,3,20221203121659
65,뭔 예약하는데 신분증 사진 앞뒷면이랑 본인사진까지 찍으래...,1,20221202211935
66,좋아요아주많이요ㆍ괜찮고그래요환상의 침실고 호스트님도 친절하고좋았어요,5,20221202192829
67,여행할때 좋습니다,5,20221202114048
68,지리긴하노,5,20221201235522
69,불필요한 인증이 너무 많아서 개인정보 유출 우려되네요...,1,20221201154347
70,쓰기 넘불편~~,1,20221130170054
71,좋아요,5,20221130143302
72,예약자 사진까지 넣으라니 조금 번거롭네요,4,20221129224121
73,예약간편 좋아요,5,20221129105332
74,존@211나 열받네 숙소 예약말고 체험 예약 잘못해서 취소하려고 하니 취소 버튼이 없음ㅋㅋㅋㅋㅋㅋ 취소 가능 예약인데도 취소버튼이 없다고 에어비앤비에 문의하니까 매크로 답변만 쳐함 그 대답 마저도 4일뒤에 답장옴,1,20221129001647
75,쓰레기임 청소비도 받는데 쓰레기 하나 못 버리게 해놓고 환불하려니 수수료가 50% 예약한지 3시간 밖에 안됐고 2주 뒤 숙소인데 울며겨자먹기로 한번 쓰는데 이번꺼 다 쓰고 바로 삭제 주식도 다 처분,1,20221127170837
76,변동가능성이 크다 정확한 주소가 게시되지 않으며 예약이 반려될수 있다 그러나 여전히 매우 유용한 시스템이다,3,20221127130715
77,얼굴이랑 민증 찍으라고 함 정신머리없는 어플,1,20221126193105
78,쓰지마세요 그냥,1,20221126150549
79,앱이 너무 쓸데없는 절차가 많아요,1,20221126113353
80,본인인증...사진...,2,20221124171858
81,10월 한 달 동안 터키에 머물렀습니다. 데니즐리 지역의 Emre라는 호스트가 체크인 조금전 예약취소하고 아직까지 환불도 안된 상태입니다. 처음에는 에어비앤비측으로부터 입금이 안됐다고 환불을 미루더니 비트코인 계좌가 있느냐? 자기는 해외은행 거래를 안한다는 둥 사기꾼 같은 말만합니다. 에어비앤비측에서도 해결하려는 노력이 안 보입니다. 숙박비를 받아 놓고 서로 미루는 모습 같습니다. Emre라는 사람 특별히 조심하시고 에어비앤비도 조심하시기 바랍니다.,1,20221124170515
82,매우만족입니다,5,20221124104347
83,너무좋습니다,5,20221124102010
84,매우 편리하고 경제적으로 세계여행 중 입니다 숙박일정을 바탕으로 쉥겐&비쉥겐 날짜 계산 기능이 추가되었으면 좋겠네요^^,5,20221124095203
85,숙소 예약비 먹튀를 하는데 그걸 알면서 일부러 게시하는 어플입니다. 추천하지 않아요. 피해금액이 100만원이 넘어가는데 아무런 조치도 안하고 개선도 없어요. 그런 서비스로 월급 타먹으니깐 좋나요? 자부심이 생깁니까? 사기치는 어플이서 일하시니 사기꾼 맞죠?,1,20221123192239
86,"에어비앤비 이용시 철저히 조심하라는 개인적 이용후 주관적느낌입니다믿고 이용하기에는 게스트 입장에서 손해볼수 있는 시스템이라 판단됩니다. 예약취소는 안된다쳐도 변경 또한 오로지 호스트 재량이며,결제순간 소비자가아닌 호스트와 에어비앤비 정책이 우선순위 갑이되는것입니다. 호스트와 에어비앤비는 결제했던것 자체로 게스트가 호스트와 에어비앤비 정책을 인지하고 결제한것으로 주장하며 에어비앤비 입장과 호스트 입장만 대변함니다. 결제전에는 사전 중요한정보에 대해선 안내하지않고 특히나 장기숙소 엄격정책 예약전 30에 도달하여 취소할수 없도록 그제서야 세부정책을 호스트가 설명하며 에어비앤비는 엄격이라 어쩔수 없다하며 뒤로빠지고 호스트와 이야기해봐라하고 질문을해도 엉뚱한 답변만 할뿐입니다. 해외에서 장기투숙시 특히나 해외부동산 써블렛을 이용하는것이 안전하고 장기숙박에 대하여 에어비앤비를 이용하는것은 안전하지않고 큰 돈만날리는 경험을 하고 심히 불쾌한 경험을 뼈져리게 하였으니 다른분들은 계약에 신중하세요",1,20221123190754
87,예 작년에 한국분이셨는데 너무 친절하게 저의 불편함을 해결해주셨어요... 환불도해주셨구요..,5,20221123133721
88,짱편해요,5,20221122231219
89,예약이 복잡하긴하나 길게 한달살기 집같은 숙소를 얻을수 있어 좋네ㅛ^^,4,20221122180636
90,왜 신분증 뒷면까지 요구하나요?,1,20221122174006
91,업데이트 후에 오류가 많아요.,1,20221120215320
92,굳,5,20221120140747
93,여러분.카드 사용내역을 꼼꼼히 보세요. 해외 사용후 꼭 해외결제차단을 해놓으세요... 친구메일로 10월에 24건 에어비앤비 결제.결제취소 등등 메일이왔고 결제는 내 카드로 몇건 되었어요.11월에도 계속 시도를 하고 있었고... 몇년전 같이 여행간 기록만으로 쉽게 부정청구를 할수있는 시스템... 독일갔을때도 독채를 빌렸는데 옆방에 남자가 거주를 하고있었고 환불은 제대로 되지않았던 ...,1,20221119094910
94,개인 셀카 찍게 하는 거 굉장히 불쾌함. 개인정보 과다 요구라고 생각함,1,20221118103510
95,굿,5,20221118000331
96,신분증검사 왜 셀카찍으면서 하라는거임 ㅋㅋ,1,20221117235058
97,진짜 좋아요 다양한 집들이 있어 좋습니다^^,5,20221117131408
98,계약금 입금하고 나머지잔고 메일로보내면 요즘 메일쓰는사람 몇이나있다고 그걸로 퉁임? 어플알람을 해야지 이럴꺼면 어플왜만듬? 그리고 계약금은 돌려도 못받음.,1,20221116135624
99,굿,5,20221116115809
100,전화번호인증불가.,1,20221115204938
101,좋아요,5,20221114091137
102,아주 편리하게 맘에 드는 숙소를 얻을수 있다,5,20221113230628
103,확실하게 신용정보를 하는게 정말좋습니다,5,20221112223002
104,우선 전화번호 인증이 안됩니다. 분명 처음인데 제전번이 이미 사용중인 번호라는 메세지가 뜨며 인증 실패했네요. 할수없이 다른 가족의 번호로 인증받았어요. 다른 어떤 앱에서도 이런 경우는 없었네요. 신분증 앞뒤 촬영에 얼굴확인까지 지금까지 가입한 그어떤 앱 중에서도 최고로 철저한 확인이네요. 집을 내어주는것이라 한편으론 이해하지만 좀 과하다는 느낌도 드네요.,3,20221112211154
105,예약이 편하고 정보도 보기 편하네요,4,20221112105401
106,Quick to search what i want . And good price and good management for hosting.,5,20221112020935
107,편리함,5,20221111113858
108,엡이 보안이 잘 된 듯합니다.,5,20221111093249
109,쓰지마셈 많고많은 부킹앱중에 이딴거 쓸 이유가 존재하질 않음,1,20221110225847
110,"정보가 많아서 좋긴 한데, 예약할 때 인증과정 등 뭔가 오류가 계속 생기는 점이 살짝 불편했다.",4,20221109141045
111,Good,5,20221109084002
112,카드등록오류 뭐냐 개 쓰레기같네,1,20221109064838
113,굿,5,20221108232825
114,"전화번호로 가입하려는데, 보안코드 가 안옵니다. 문자, 전화 안와요. 오류인가 해서 댓글로 남깁니다.",3,20221108142349
115,좋아요~,5,20221106233536
116,Good,5,20221106223748
117,회원탈퇴어렵다,1,20221106012725
118,인증 너무 많아요,1,20221105194429
119,굿,5,20221105175836
120,에어비앤비 환불정책으로 소비자만 피해보는듯 어플도 불안정하고 배짱장사 하시는지...최악of최악 고객센터 연락해도 돌아오는 답은 규정상 고스란히 피해자는 소비자,1,20221105174806
121,가격도 저렴하고 다양한 숙소형태를 경험할수있어 좋습니다ㆍ,5,20221105072809
122,너무편리해서 대단히만족합니다.^^,5,20221104115633
123,Very useful,5,20221103211153
124,좋은장소가 많아 좋아요,5,20221102202012
125,최고의 여행 동반자 입니다,5,20221102183024
126,검색 기능을 추가해주세요. 숙소 이름 검색 그외 아주 좋습니다.,4,20221102151311
127,다 좋은데 평점순으로 보기 기능 추가해주세요,4,20221102001303
128,Very useful,5,20221101230214
129,호스트입니다~^^~,5,20221101204800
130,예약하려니 신분증이랑 셀카 보내야 예약가능하다함. 찾아보니 신분증 뒷번호도 안가리고 다 보내야한다는데 어이없음,3,20221101163133
131,앱카드사용할 수 있게 해주세요..결제가 힘들어요,4,20221101151916
132,사용이 편리하고 좋으네요,5,20221031175752
133,어느 순간부터 숙소가 위시리스트에 안 넣어져요ㅠ,1,20221031121730
134,여자친구 아버지가 여행 전날 갑자기 돌아가셔서 취소 좀 해달라했는데 정책상 안된다. 사망진단서를 끊어와라 1주일 주겠다. 이러고 있다가 알고보니 계약자 본인과 직계가 아니라고 한푼도 안해준다고 하네.. 그래 다 가져라,1,20221031104216
135,좋음,5,20221031095703
136,이번업데이트로 게스트와 채팅창에서 빠른답변탭이 사라져서 매우 불편합니다,5,20221031022556
137,개같이 불편하게 바뀜 쓰라고 만든건지,1,20221030211907
138,아니 왜 로그인 계정이 자꾸 오류가 나나요? 비회원으로 이용하기도 불편하고 계정메일 보냈다는데 메일 오지도 않고....오늘같은 상황에서는 1점도 아까웠습니다,1,20221030202628
139,결제중 카드가 계속 거절당하는데 1불씩은 계속 가져가네요,1,20221030021115
140,좋아요 사용하기편해요,5,20221029212829
141,좋은 앱입니다 저렴하고~~~,5,20221028180812
142,쓸데없이 개인정보를 너무 지나치게 요구해서 매우 불괘함,1,20221027153145
143,처음 시작하기가 좀 어려워요,4,20221027144059
144,사용하기 편리해요,5,20221026230228
145,호스토와 연락이 바로바로 되고 예약도 편리해서 자주 이용할것 같습니다.,5,20221026191510
146,전화인증 관련 대응이 너무 거지 같음 인증 문자가 5시간 뒤에 옴 꼭 개선되어야 함,1,20221026170022
147,이상함...,3,20221025152828
148,달력보기가 너무불편해졌어요... 최소한 달력 별칭이라도 나오게해주세요 제발...,3,20221025143822
149,1점도 아까움. 호스트가 갑자기 예약취소한거인데 카드 수수료는 안준다하고 호스트쪽 제지도 안하는거같음. 자기들은 권한이 없다고하는데 먼 🐶소리인지. 차라리 아고다 쓰세요,1,20221025134111
150,편리함,5,20221025125859
151,신분증 인증도 어이없는데 셀카까지? 귀찮고 불편하네요,1,20221023230819
152,이중부킹되서 취소하느라 수수료 추가 부담했어요,1,20221023201105
153,최고의 앱,5,20221022172137
154,결제하려면 본인인증을 해야하는데 신분증 사진이랑 다르다고 예약도 못함;;;;;;;;,1,20221022113440
155,좋은숙소많고 사용하기좋아요,5,20221022072621
156,걍 개불편함 결제관련건도그렇고,2,20221019165946
157,좋아요♡♡♡,5,20221019110336
158,좋아용,5,20221019084245
159,사용자인증이 왜 이렇게 복잡하고 까다로운지 이해할수가 없습니다,1,20221019012403
160,Very fast and Good,5,20221019005707
161,최소금액보다 금액이 낮게 설정되요,1,20221018190101
162,신분증 인식이 안되서 넘어가질 않음,1,20221016094255
163,꼼꼼한 선택이 필요한만큼 꼼꼼한 어플입니다,5,20221015203743
164,굿,5,20221015165114
165,결제 너무 귀찮음 해외 가는 거면 모를까 국내 여행에서도 굳이 비자 카드를 써야 하는 게 귀찮음,1,20221014212904
166,셰어하우스 통나무집 이딴 쓸모없는 필터 왜 있는거야?,1,20221013215346
167,신원확인을 몇번이나 시키는건가요 게다가 신분증 인식을 너무 못합니다. 사용하기가 너무 불편해요.,1,20221013201325
168,굿,5,20221013142253
169,최근 검색 삭제 기능은 없나요?,4,20221013101746
170,슈퍼호스트입니다. 호스트가 부득이하게 예약을 취소해야할 경우. 패널티로 예약취소(수수료). 즉 '벌금'이란게 발생합니다. 호스트는 게스트에게 100% 전액환불 해주고 . 그와동시에 숙박금액보다 더 높은 금액을 또 에어비앤비에게도 벌금으로 물어줘야 합니다. 배보다 배꼽이 더 크다는거죠. 시작하는 호스트님들 참고하세요.,1,20221012212554
171,너무 잘 쓰고 있어요 특히나 휴양지에서는 이제 정말 가고싶은 리조트나 특별한 호텔 있지 않는한 거의 비앤비로만 가게되네요,5,20221012194918
172,가고자하는 검색지역이 아닌 다른지역이 올라와서 불편해요!,1,20221012192012
173,"에어커버니 뭐니 하면서 게스트가 피해보면 자기들이 책임지고 보장해줄 것처럼 광고하더니 실제로 피해입고 연락했더니 환불여부부터 시작해서 환불금액 조정까지 다 호스트 재량이라 지들은 해줄 수 있는게 없다만 반복. 그렇게 계속 똑같은 말만 할거면 AI나 자동응답기를 쓰지 왜 굳이 사람을 쓰는건지 모르겠네. 게스트가 보낸 증빙자료가 부족한 것 같으면 애초에 메세지 외에 메일로 더 보내 달라고 요청하던가 해야지 그런 것도 없이 대충 확인하고는 심각하지 않아서 보호대상 아니라고 판단하고 아무것도 못 한다고 하는데 에어비앤비 직원들은 온 바닥에 먼지랑 머리카락이 나뒹굴고 흙먼지 묻은 신발 자국이 가득한 집에서 아무렇지 않게 몇일씩 묵을 수 있는 사람들만 있나봄, 얘네는 벽에 똥칠이 되어 있는게 아니고서는 청결 문제 발생해도 아무런 도움도 못 받을 확률ㅇㅣ 99% 이상이니까 여기 직원들처럼 청결에 무딘 사람 말고는 여기서 숙소 예약하지 마세요.",1,20221012114044
174,굿,5,20221012111316
175,좋아요♡♡,5,20221011213239
176,어플 진짜 느리고 개인정보 수정한참걸리고 정말 개판입니다 이런 어플 처음봤습니다 에어비엔비 그래도 세계적인 기업이 아닌가요? 어플 하나 구동도 제대로 안되게 해놓고 수수료는 정말 오류없이 잘떼가네요 제발 ! 최적화좀 부탁합니다,1,20221011193653
177,가성비좋은 숙소를 찾기 편리해요,5,20221011001940
178,good,5,20221009210848
179,저아여,5,20221009195015
180,웹에서는 다 보이는 위시리스트가 앱에서는 끝까지 스크롤이 안 돼는 불편은 언제쯤 개선이 될까요...,3,20221009140445
181,Easy to use,5,20221009122806
182,주소를 알려주면 좋겠습니다.,5,20221007121941
183,수수료 너무 높고 직관적이지도 않고 불편함. 쓸데없는 필수사항이 있음. 일전에 사용했을 때는 100프로 전부가 환불 안되고 그냥 노쇼하는 사람이랑 똑같이 돈 냄; 이건 좀 아니지 않냐? 환불정책 쓰레기 // 제 거 왜 리뷰창에 안뜨죠? 다른 어플리뷰들은 같이 뜨는데 뭐 가리기같은 게 되는 건가요? 소비자 보호좀요,2,20221007094902
184,거지같음 몇번틀렸다고 차단당함,3,20221006235027
185,숙소 예약에 있어서 선택의 폭이 훨씬 넓어져서 좋습니다.,5,20221006222907
186,항상 다양한 정보 제공에 만족합니다,4,20221005171653
187,첫사용,5,20221005083209
188,Good 외국여행때 자주 사용했는데 한국에서도 좋은것 같습니다.,5,20221004164244
189,게스트로 하든 호스트로 하든 수수료를 엄청 떼먹습니다.,1,20221004134030
190,굿,5,20221003220810
191,좋아요,4,20221002001655
192,굳굳,5,20221001141847
193,좋습니다. 서비스가 친절해요,5,20220930220353
194,서비스 리얼 좋음. 관리 잘합니다ㅋㅋ,5,20220930211752
195,좋은 여행 숙박 정보가 잘되어있음,4,20220930012736
196,필수품,5,20220929235438
197,편함,5,20220928144309
198,해외 여행의 든든한 동반자입니다.,5,20220928104506
199,프로필사진을 꼭 찍어야하는이유가 뭡니까,1,20220927232905
200,항상잫이용합니다,5,20220927142032
201,좋아요...속도가 좀 느리기는 하지만요.,4,20220927115454
202,카드 등록하니까 아무말 없이 1불빼놓고 결제 불가능 카드라고 해버리네요,4,20220926151713
203,좋아요,5,20220925111815
204,이메일 로그인도안되고 새로가입할려니 이미등록된이메일이라 가입도안되요... 그래서 계정삭제하고다시 가입하고싶은데 계정삭제할려니 자꾸 또 로그인창뜨고 ㅠㅠ....어떻게하면되나요,1,20220924150951
205,너무 엉망. 시스템 업그레이드필요,1,20220924101312
206,쵝오..,5,20220923203402
207,사진인식을 너무못해요,2,20220920234646
208,직관적이고 편리합니다,5,20220920182550
209,처음알게됐는데 좋은숙소많아서 좋아요,5,20220920022502
210,아니 본인인증만 6시간째입니다 사진으로 인식을 못하면 깔아놓질말든가 똥개훈련시키는것도 아니고 뭡니까이게 한국에서 장사를 하려면 시간낭비하게하는 오류를 잡아야될것아닙니까 사진만 10번 넘게 찍었어요 장난해요? 하 .. 진짜 열받네,1,20220919233438
211,Great for travel,5,20220918233100
212,굿,5,20220916232435
213,굿이에용,5,20220915230613
214,수수료를 그만큼 많이 뗄거면 문제가 있을때 적절히 해결해줘야한다고 생각합니다. 사진과는 다른 너무너무 지져분한 숙소를 한달이 넘는 기간동안 예약했어서 당장 환불 받고파서 부랴부랴 에어비앤비 고객센터에 연락했더니 해주는거 없더라구요. 그래서 호스트랑 제가 알아서 담판짓고 결국 절반치 돌려받았습니다. 이럴거면 수수료는 뭐했다고 그렇게 많이들 떼어가시는건지 모르겠습니다.,1,20220914050602
