date,content,score,at
0,"""숙소에 email 보내기""로 공항에서 puck up 요청에 관한 email을 보내도 답도 없고 호텔 메일주소도 없으니 도무지 이해가 안감. 내가 보낸 email 내용도 보이지 않고 메일이 정상적으로 발송 되었다는 멘트는 뜨는데 시스템이 정말 불만족 스럽습니다",3,20230206185546
1,유용하고 편리해요,4,20230206171506
2,예약전에 궁금한 점이 있을 경우 앱을 통해 호스트와 메시지로 소통하는 것이 아주 효과적이고 편리합니다. 그리고 소통한 기록이 사라지지 않아서 아주 좋아요. 2020년 여름여행을 너무 빨리 준비한 관계로 손해가 컸는데 현재는 무료취소 가능한 기간이 충분해서 안심하고 예약할 수 있어서 좋아요. 많은 개선을 위해 노력한 부킹닷컴을 앞으로도 애용할 거에요.,5,20230205191629
3,"I rested very comfortably in a well-equipped accommodation. The meals and recreational facilities located in the accommodation were very nice, so I was happy to have good memories.",5,20230205022147
4,최고 !,5,20230204225252
5,간편함,5,20230204050245
6,어느 앱을 사용해봐도 가장 편리하고 가격이 좋음,5,20230202101245
7,자세희설명함,5,20230201143056
8,다른 숙박예약 앱에 비해 취소가 편해서 서비스에 신뢰가 감,5,20230131043702
9,이번 업데이트 후 숙박 옵션 선택이 안 됩니다. 다른 기기에서도 확인했습니다.,3,20230128010723
10,Good,5,20230128000553
11,처음 사용하는데도 편리하네요~,5,20230127220727
12,편리함,5,20230126153523
13,빠릅니다,5,20230125085922
14,좋음.,5,20230124212745
15,앱이나 사이트 너무 구려요 개발자 잘 뽑아 써요,1,20230124195718
16,사용자 편의성이 매우 좋아요.,3,20230124152434
17,good,5,20230123095122
18,편리합니다,5,20230122000705
19,genial,5,20230121204740
20,매우 편리,5,20230121181911
21,굿 말필요없음.,5,20230119233132
22,웹사이트에서는 욕실 개수 선택이 되는데 모바일에서는 안되네요. 기능 추가 부탁합니다.,4,20230119190901
23,예약편하고 좋아요,5,20230115072439
24,개꿀,5,20230113233249
25,It's so convenient and easy that it doesn't need an explanation.,5,20230113153102
26,"편리, 빠름",5,20230113135404
27,여행에 최적화 된 유용한 앱,4,20230113095840
28,좋아요,5,20230112125026
29,친절하게 했는데 너무좋아요,3,20230111190725
30,사용편리해요.예약과 취소가 손쉬웠어요.,5,20230111182252
31,직관적인 메뉴구성이 좋습니다. 고객센터 연결이 원활하며 업무처리 역시 깔끔합니다.,5,20230111033614
