date,content,score,at
0,비번찾기 불가능. 지우고싶음.,1,20230109113007
1,리워드 프로그램이 좋아요,5,20230109110342
2,왜 이렇게 오류가 자주 나나요? 또 그동안 적립한 숙박은 적립내역이 보이지도 않고 어떻게 쓰는지도 정확히 안내가 안 되는 것 같네요,2,20230108234056
3,하나도 아까움 자판 계속 사라지는 오류있고 계정 연동도 안됨,1,20230108224442
4,좋아요,5,20230108211428
5,좋아요,3,20230108200634
6,전통 있는 앱으로 이용에 편리하며 고객관리에 적극적인 분위기가 매력적임,4,20230108133017
7,계속이용하는 앱,4,20230107210834
8,좋아요,5,20230107165603
9,"앱 바뀌고 내 예약 보기도 불편해지고, 앱에서는 로그인조차 잘 안됨. 로그인 후에 내 여행 보려고 하면 다시 로그인 하라는 화면이 나오고 로그임 버튼 눌러도 아무런 반응 없음. 앱이 완전 무쓸모",1,20230107162946
10,When can you fix the login issue? I can't use the app for it. Please tell me how I should do.,1,20230107094329
11,정확한 호텔및 콘도 숙박시설 정보,4,20230107065513
12,"리워드 누락 심각해요. 3박을 했는데, 리워드 못받았어요. 완전 속상하네요. 다른데 보다 비싸도 리워드 때문에 썼는데 사기 같네요. ㅠㅠ",1,20230107003009
13,리워드도 안뜨고 그리고 예약사항도 안뜨는데요?? 가끔이래요,1,20230106212350
14,친절하고 바로바로 해결되서 넘 좋아요,5,20230106202005
15,"예약 편하고 비용도 좋게 나오고, 리워드 숙박도 할수 있어서 좋습니다.",5,20230106153316
16,리뉴얼된 이후 예약변경에 대한 사항이 상당히 불편하다.,1,20230106120629
17,"가족여행 첫 구매인데 다시는 안쓰려고요 체크카드 환불이 이렇게 느린거 처음봤어요; 상담원 연결 후 응대도 업무처리 능숙도가 한국이랑 달라요ㅜ 플랫폼도 불편하고 그냥 한국앱 여기어때, 야놀자가 훨씬 편해요 다시는 안쓰려합니다.",1,20230106105814
18,앱 호환성은 너무 안좋고 예약을 한 내용도 안뜹니다,1,20230106094331
19,로그인을 해야하는데 키보드가 사라짐..어떻게 해야할까요?,1,20230105221922
20,로그인 겁나 불편,2,20230105215553
21,내 계정으로 로그인 해서 예약을 했는데 예약정보를 보려면 예약번호가 필요... 예약 내역 버튼도 어디있는지 숨어있고 예약 확인도 어려움. 불편해 죽겠네.,1,20230105163426
22,즐겨찾기도 찾을수없고 담아둔 여행계획호텔도 볼수없어요.. 앱의 사용용도를 모르겟음,1,20230105125337
23,편하고 좋아요,5,20230105000938
24,"제가 작동시키지 않은 상황에서 자꾸 앱이 켜져있는 경우가 언제부터인가 관찰되는데 이유가 있는건지, 아님 수상한 상황인지 모르겠습니다. 몇번 더 지켜보다가 삭제 예정입니다.",3,20230104190141
25,"어플이라 하기엔 어려운 웹페이지를 앱처럼 보이게 한 하이브리드 형식으로 오류가 너무 많습니다. 특히, 로그인 후 예약내역 보려고 하면 로그아웃이 되어 찾아보기 힘듭니다. 앱에 투자하셔야 할 것 같습니다.",1,20230104165648
26,로그인 에러 키보드 에러,1,20230104120440
27,로그인하기가너무힘듦. 알파벳1개밖에 입력안되서 그냥 웹페이지로그인하,1,20230103234540
28,로그인이 안되요,2,20230103200651
29,최고,5,20230103194429
30,좋음,5,20230103111113
31,좋아요,5,20230103110213
32,로그인오류 심하네요,1,20230103024036
33,호텔예약 간단하고 저렴해서 좋네요,5,20230103002418
34,깜빡하고 호텔취소를 못했네요 물론 내잘못이지만 며칠전에 알림이 오면 좋을텐데...,1,20230102085149
35,예전 앱이 더 나았어요. 지금 너무 불편합니다.,1,20230101124047
36,I use this app frequently,4,20230101003539
37,"상세한 정보가 있고, 예약과 취소가 간편해서 좋습니다.",5,20221231215143
38,역시 저만 그런게 아니었네요 몇년째 잘쓰고 있었는데 이제 답답해서 못쓰겠어요,1,20221231200605
39,자꾸 로그인이 안되는데 안정화가 리ㅣㄹ된건지.,2,20221230231814
40,"앞으로 호텔스닷컴 이용하지 않을것입니다. 현지 언어는 지원이 안되고 영어만 지원되며, 어플리케이션은 오류가 자주 발생하고 무엇보다 불편합니다. 오랫동안 사용했으나 피드백도 느리고 하여 더이상 사용하지 않을것입니다.",1,20221230231640
41,숙박앱 중에 가장 편리하고 좋습니다.,5,20221230193600
42,앱버전이 바뀐후 로그인을 해도 내 예약을 홧인할 수 없는 경우가 너무 잦다. 난 실버 멤버인데 심각하게 다른 앱으로 바꾸는 것을 고려 중. Do not download this app. Useless!!!,1,20221230185215
43,Good,5,20221230042439
44,에러 및 로긴불가,1,20221229235005
