date,content,score,at
0,처음 시도하는 패키지여행 걱정 많았는데 가이드님이 너무 친절하게 안내 주셔서 마음 놓고 다녀왔습니다~,5,20230127121150
1,좋아요 ~.~,5,20230126105443
2,갤노트4 안드 6버전인데 업뎃후 투어앱이 안됩니다,1,20230119162516
3,항공권 검색이 쉽고 저렴해서 좋습니다. 자주 이용할께요.,5,20230119090941
4,아니 ㅋㅋㅋㅋ 일 적당히 안해야죠 이름 입력을 친구가 잘못 해서 전화 하는데 이틀내내 한시간째 전화해도 받질 않네요 톡집사? ㅋㅋㅋ 자동답장 말곤 뭐 상담조차도 불가하던데요 그리고 어떤 여행사가 여권 사진도 없이 이름을 입력해서 항공권을 올리나요 수수료 먹을려고 그러나요 다시는 사용 안할 거 같네요,1,20230117163842
5,다른곳이랑 비교해도 인터파크기 제일 저렴하네요,5,20230116144458
6,만족합니다. 적극추천합니다,5,20230113191441
7,항공권 가격은 진짜 저렴하네요~,5,20230112103055
8,진짜 얼탱이가없네 상담사연결하려고 계속 기다리다가 별수없이 깔았더니 이번에는 인터파크 회원가입해야된다고 장난치냐?,1,20230111163436
9,최악. 별 하나도 아까움. 로그인도 안되고 고객센터 전화연결도 안됨,1,20230105163446
10,기능이 너무 편해서 자주 사용하게되는거 같네요!,5,20230104170057
11,항공은 여기가 제일 편리하고 제일 싸서 많이 쓰고 있습니다.,5,20230104165700
12,노트북으로도 쉽게 할 수 있게 바꿔라 야발련,1,20230103142244
13,해외여행갈때 항공권은 꼭 인터파크에서 구매해요. 저렴하기도 하고 카드혜택이 다른 곳보다 많은 것 같아요!!👏,5,20230102145448
14,인터파크투어 자체가 비회원AS가 너무 안 좋아서 별루입니다. 서버폭주 자동취소 된것도 환불 안 해줘서 전화상담 연결하려고 통화요금만 만5천원내고 4분기다리면 자동으로 끊어서 대기순번유지 안되어서 통화못하고 상담받으려고 깔게 되고 사전 연락 한 번 안 주고 환불수수료 없이 환불되긴했지만 상담 못받은 통화료 만5천원이 수수료같은 기분으로 환불받게 되네요 일단 비회원 이용 비추천이고 뭔가 이용에 불편이 많아요,1,20221229111712
15,안될때마다 삭제 재설치해되서 불편함 제주여행만들기 비행기 장바구기 넣었는데 다른항목으로 안넘어감 한두번이 아니라 넘 불편함,2,20221227111024
16,해외여행 조금씩 재개되면서 다시 둘러봤어요. 상품 구경부터 결재까지 편해서 좋아요.,4,20221227093310
17,1개도아깝네요 웹관리도 못하시고 ㅋㅋㅋㅋㄱ,1,20221226144915
18,별루네요,2,20221225085329
19,왜 인터파크만 상대적으로 타 앱보다 속도가 늦게 느껴지는건지....,3,20221225020559
20,운항 결항인 비행기표를 당일에 팔고서는 톡집사고 전화고 연결도 안되는 웃기는 회사입니다.,1,20221223172746
21,이제 슬 외국 나가려고 최저가 항공권 찾다가 인터파크 도착!! 올때 갈때 내 일정에 맞추고 가격도 저렴하게 항공권 구매 성공 ㅋㅋ 갈땐 국적기 올 땐 엘씨씨 ㅋㅋ 내맘대로 되니 나이슼,5,20221216135033
22,여행톡집사에 항공권 환불 문의남겨놨는데 답이 없네요. 그리고 고객센터에 전화하면 왜 받지도않고 끊어버리죠?,1,20221214133804
23,이용이 간편하고 항공편도 선택지가 많아서 만족합니다. 항공 예약 후 숙소 예약도 같이 할수있어서 편리해요.,5,20221212191032
24,ui가 깔끔하고 직관적이라 좋습니다. 또한 국내외 숙소부터 항공까지 원스톱으로 사용할수있어 편리합니다. 마지막으로 여행관련 컨텐츠나 기획전들이 적절하고 유용하게 잘 배치되어 있어 편리합니다,5,20221212162045
25,굿,5,20221211211041
26,로그인에서 무한로딩됨.. 어쩌라는거임...,1,20221205174710
27,여행가이드,5,20221204074101
28,아...진짜 하다가튕기고 하다가튕기고 정도껏해야지.... 업데이트해도 맨날똑같고... 뱅기고 호텔이고 재검색하는것도 매번빡친다...,1,20221202090929
29,가이드님이 친절하시고 항공 호텔 매우 만족합니다. 2박3일은 짧아서 3박4일 상품이였으면 더 좋았을것 같아요.,5,20221201122527
30,편해요,5,20221130030655
31,앱 내부 팝업을 화나도록 띄움. 당일 안보기 눌르면 광고로 이동,1,20221123141630
32,어느 빡대가리들이 앱 개발했냐 진짜 쓸데마다 암걸릴것 같음 회사에서 월급 더 주고 제대로된놈 뽑던지 외주를 줘라ㅋㅋㅋ 진짜 21세기 맞냐 ㅋㅋㅋㅋㅋ 호환 하나도 안되고 ㅋㅋㅋㅋㅋ 개느리고 ㅋㅋㅋ 티켓은 왜 또 마이크로 소프트 연결하는건데 ㅋㅋ 진짜 ㅋㅋㅋㅋㅋㅋ 월급도둑놈들 ㅋㅋㅋㅋ아 진짜 폰던지고 싶다,1,20221115235401
