date,content,score,at
0,"항공,렌트를 저렴하게 한번에 예약해서 잘 놀다 왔습니다~",4,20230206185732
1,낮에는 두 아이들과 다녔던 코스를 밤에 가이드님과 함께 상세한 설명을 들으면서 투어한게 너무나 많은 지식을 얻게 되어서 두배로 좋았어요 추운날씨에 가이드님 고생 많으셨습니다^^,5,20230206165709
2,제주여행시 자주 사용하는데 편리하고 좋습니다. 렌트카 쪽이 잘되어 있는거 같아요~,4,20230204154641
3,정보가많아요,5,20230202123333
4,대체로 합리적인 가격에 처음 이용해도 불편함없이 투어가 순조롭게 진행되어 좋았습니다,5,20230201171258
5,여기 직원이 접수 실수해서 금전비용 발생하면 무조건 발뺌하고 한달 두달 질질끌다가 대충 싼값에 환불해주는 곳입니다. 검색 해서 사례들 확인해보시고 다른곳 쓰세요,1,20230201161514
6,다시는 안 쓸 생각입니다. 국내선이라면 모르겠지만 해외선은 도움이 안 돼요. 에이전시라는게 믿겨지지 않습니다.,1,20230201144200
7,예약 편함,5,20230131152159
8,더 많은 정보가 필요합니다.,4,20230130145141
9,여행중엔 필수앱,5,20230129131237
10,북부 츄라우미와 여러 명소를 스캔하고 싶다면 좋은 투어입니다. 만좌모의 역동적인 모습을 보러 렌트했습니다. 또 갑니다,5,20230128222705
11,예약취소하려고 어플을 설치해야한다니 ㅋㅋ,1,20230127231558
12,"마이리얼트립 싸지도 않고 환불도 깔끔하지 않으며 무엇보다 수수료 폭탄입니다..왠만하면 하지 마시고, 하셨으면 왠만하면 취소하지 마세요..",1,20230127081308
13,추워서 그런가 검색이 안되네. 짜증나게 쓰기 싫다,1,20230125213231
14,좋은 프로그램 감사합니다,5,20230125142109
15,투어상품 예약한 걸 취소하면 환불이 안된다는 걸 따로 알림을 안주고 취소가 접수돼서 당연히 환불이 되는 줄 알고 기다렸는데 환불이 안된다고 함; 문의하니 메시지 보냈다는데 그동안 다른 알림은 카톡이랑 메일로 꼬박꼬박 보냈으면서 취소가 안된다는 그 중요한 알림만 해외에서 수신도 안되는 한국 번호로 문자메시지로 보냈다네요..? 20만원 쌩돈 날렸습니다 너무 화가 나네요 그동안 잘썼는데 다신 안쓸거같아요,1,20230125104904
16,해외 여행자들에게 매우 유용한 어플 Bon Voyage,5,20230124144704
17,권장합니다,5,20230123180656
18,최고예요~,5,20230123131624
19,미술관은 꼭 투어하세요. 그리고 내 지식수준에 맞게 설명 해주는 가이드 배정 받을수 있게 문의 해보시구요.,4,20230122150953
20,너무 좋아요 즐거운 여행 쌉가능,5,20230121172428
21,편하고 빨라요,5,20230121163032
22,편하게 잘 다녀갑니다,5,20230120191501
23,아주 편했습니다. 할인도 확실했습니다,5,20230119230714
24,ㄱㅎㅇ홈과 너무 다름. 서비스 신뢰도 제로,1,20230119161925
25,아이고 상품 검색이 힘드네요. 왜 다들 별점1 주는지 알겠어요.,1,20230119011402
26,매우 만족스러운 공항 픽업 서비스였습니다~~ 덕분에 가족 모두 기분좋게 방콕 여행 시작할 수 있었습니다^^,5,20230119001412
27,한국말 잘하시는 여성 가이드분 최고~,5,20230118150453
28,여기 최고네요 앞으로는 여기만 이용하기로용 ^^,5,20230118142630
29,가격이 합리적입니다,5,20230118122208
30,괜찮습니다,5,20230117005121
31,"싱가폴 유니버셜스튜디오 예약하려고 했는데 본인인증이 며칠째 안되고 있다. 난 그냥 표를 사고싶은데 무슨 부정을 저지른다고 본인인증을 하는지도 모르겠고, 인증을 붙이려면 똑바로나 하지 왜 며칠째 안되는지도 모르겠다. 사기인건가 개발자가 회사가 망하길 바라는건가? ------------- 인증 붙인건 알겠는데 인증을 해도 안넘어가게 붙여놓으니 검색은 마이리얼트립으로 하고 구매는 클룩으로 했음 결국 클룩이 더 싸고 편함 개꿀",1,20230117004457
32,"남들이 1점 남긴건 이유가있습니다.. 구글리뷰 안남기는데... 남겨봐요 (어차피 마이리얼트립에 후기 남겨봤자 삭제될거라...) 현지에서는 아예 시차때메 고객센터가 연결이 안되서 실시간으로 문제생겼을때 연락이안되고, 고객센터 직원은 AI인지 연락도안되고.. 답답한 마음에 소비자원에 도움도 요청했는데 해결될지 모르겠네요. 취소를 안해줄거면, 취소버튼을 활성화 해놓지 말건지.. 이미 취소해버린건은 다시 취소시켜서 사용할수있게하는 버튼도 없고.. 어플쓰실분은 취소버튼 절대 누르지마세요. 잘못 누르면 나락행...",1,20230116235953
33,점점 좋아짐,5,20230115143817
34,편안함,5,20230114153204
35,믿을수 있는 여행안내자들이 현지에 거주하며 구석구석 관광안내. 해 주어서 좋았습니다,5,20230113155303
36,촌각을 다투는 여행지에서 앱 업데이트 안 하면 실행 안되는 게 말이 되냐 ㅉㅉ 1점도 많다,1,20230113064731
37,친구초대로 쿠폰나오지도 않고 거짓말인가요?,1,20230110201541
38,1. 왜 앱으로들어갔는데 숙소는 앱에서만 사용가능하다는지 2. 왜 Dx임직원인증ui 는 인증을 해도 무한대로 뜨는지,1,20230109115748
39,두말이 필요없이 좋아요~,5,20230107145130
40,굿,5,20230106142612
41,아니 안그래도 이용하기 불편했는데 검색필터 어디갔음.. 점점 더 이용하기 불편하게 만들면 어떻게합니까,1,20230103235900
42,동네 슈퍼를 가다가 우연히 슈퍼앱을 알게되었습니다. 오늘이 마지막인 것처럼 소중한 하루하루를 좀 더 가치있게 보낼 수 있을 것 같은 예감이듭니다!!,5,20230103180356
43,쓰기 좋네요!,5,20230103172354
