date,content,score,at
0,Very efficient and time saving,5,20230206091901
1,"먼저 좋음. 하지만 ￦대신 원래대로 저가,중간,고가로 바꿨으면 좋겠습니다. 또,항공기 기종도 넣으면 좋겠어요.",3,20230205151442
2,고객센터도 없고 문제가있을때 대응이안된다,1,20230205122716
3,단순 하면서도 시간대별로 가성비있게 빨리 찾을수 있는 최고앱,5,20230203184714
4,렉이엄청심함,1,20230202155520
5,최저가로 떠나는 제주도여행 ✈️ 비행기표 👍,5,20230130081712
6,사용하기 편해요,4,20230129215158
7,좋아요! 너무,4,20230129141902
8,좋은선택...감사합니다.,5,20230127202745
9,감사합니다,4,20230127141639
10,신속하고 정확한 편리한 정보 감사합니다,5,20230127101328
11,좋아요,5,20230125100218
12,"와이파이 빵빵, 데이터 빵빵.. 하지만 어째선지 검색이 안되는 항공권. 인터넷이 불안정하다는 말뿐.",1,20230124085150
13,초고예요.,5,20230123183408
14,좋습니다. 다 좋은데 언제부턴가 예약하려 검색해보면 왜 10개의 항공편밖에 안뜨는걸까요. 웹으로 보면 잘 나오는데 말이죠,5,20230121024419
15,사용하기 편해요,5,20230120114146
16,훨씬 비싸네요,1,20230118142352
17,놀랠정도로 훌륭한 사이트,5,20230117093038
18,너무너무 좋아요. 아주 좋아요 신세계을 경험했어요 많이많이 사랑해 주세요. 감사합니다,5,20230117083901
19,이렇게 변동을 알려주시는 군요 감사합니다,5,20230115091410
20,Tour is always sweet,5,20230114182023
21,좋아요 누른 항공편 다음날 들어가서 보면 맨날 없대요 ㅡㅡ,2,20230112160110
22,가격비교 최고예요,5,20230111224835
23,"몇시간만에 항공요금 변동이 심하네요... 3~4시간만에 60,70만원씩 차이가 난다라니 ㅠㅠ",3,20230110224737
24,정렬 및 필터 왜 안되는거지? 항공권 로딩중 오류라고 몇일째 뜨네라고 문의 남기니 몇일째 항공편 모두보기 정렬및필터 누르면 오류나던게 제대로 나옴,3,20230110185425
25,좋아요,5,20230110133128
26,최저가로 가격이 명시되어 있어서 들어가보면 미끼상품이었던건지 그 가격 절대없음,3,20230106093734
27,유용한정보좋아요,5,20230104061351
28,비행기편 확인할때 편해서 항상 사용하고 있습니다. 다만 여기서 나온거와 가격차가 있을때가 있어서 이 앱으로 스케줄이나 가능한 항공사 확인만 합니다,4,20230101205404
29,업뎃후 계속 오류..,1,20230101204417
30,스카이스캐너를 통해 항공편을 예약했는데 결제만 되고 항공편에 대한 화면도 뜨지 않고 48시간이 지나도 메일이 오지 않았다. 스카이스캐너 측에 문의할 수 있는 방법이 없어 항공사에 겨우 연락하였더니 스카이스캐너를 통해 예약하면 나같은 경우가 많다고 한다. 어플의 편리성은 5점이나 위와 같은 이유로 1점을 준다. 참고로 나는 아직도 항공편에 대한 메일도 받지 못했고 환불도 받지 못했다.,1,20230101083025
31,최고,5,20221230173947
32,태국가야지!!,5,20221229232209
33,가장 상용하기 편한 항공권 검색 앱,5,20221227192032
34,좋아요,5,20221227122323
35,이제 야도 못 믿겠넹... 제주 항공 앱이 더 싸네... 적당히 차이 나야지...,3,20221223222215
36,너무 좋아요,5,20221222174622
37,좋아요,4,20221221104514
38,좋습니다,5,20221220173457
39,공정 정확합니다,5,20221220141422
40,언어선택이 전에는 있었는데 지금은 없어졌나요?,5,20221216122117
41,사용이 편리합니다.,5,20221216003850
42,트립닷캄 같은 환불안되는 사이트는 연결시키지 말아주세요 검색하면 신문에도 피해경고까지 기사난 회사입니다 평점도 가짜예요 불만족평들어가면 피해자가 수두룩 합니다,1,20221214120156
43,Everywhere 하나도 안맞아요 클릭하고 들어가면 그 가격대가 아예 안보임,1,20221214025450
44,실시간 검색결과로 예매하기 편리합니다,5,20221213121711
45,항공권 싸게 구매했어요,5,20221213001208
46,good,5,20221212224917
47,검색이 안되요~ 22시에 하니 몇개뜨지도 않고... 혹시나 해서 포털에 검색하니 여러 항공사 뜨는데... 필터만 들어가면 오류걸려요ㅡㅡ,1,20221210224316
48,최저가로 제주를 자주 애용합니다,5,20221210205348
49,여행에 유용한 정보를 제공해 매우 편리합니다.,5,20221209080234
50,최저가라고 누르면 무슨전부다 가격이3배임 원래안이랬는데...여기서항공권만 3번이상은산거같은데 요즘왜이러지,2,20221208123919
51,진짜 항공권 검색 너무 느려서 티몬으로 알아봄 걍,1,20221207112418
52,저장해둔 일정에 가격변동 생기면 띵똥 알려줍니다,5,20221205220045
53,티켓은 고르고 실제 들어가면 다 없는 티켓이라고 나와요...,1,20221205210929
54,좋아요,5,20221205112016
55,엄청불편한결제,1,20221204204516
56,좋습니다.,4,20221202235054
57,왜 낙시질인가요 무작위 검색하면 저가로 나왔다가 안으로 더 들어가면 틀리나요,1,20221202074750
58,렌터카가 완전 멋있음!!!!!!!!!,5,20221201091014
59,굿,5,20221201002347
60,여러분 이용하지마세요.eDreams와 같은 환불불가옵션 붙여서 예약하도록 유도하는 항공권 대행사이트와 협약맺고 고객 등쳐먹는곳입니다.,1,20221130233138
61,너무 좋네요 여러가지 다른 항공예약어플보다도 잘돼있어요 깔끔하고 관련된정보를 알기쉬워요 계속 이용하겠습니다,5,20221128060310
62,작년까지 잘 썼는데 김포<->제주 항공권이 10개밖에 안나오는게 말이 되나요..?,1,20221128005144
63,좋아요,5,20221127204640
64,최고,5,20221126091201
65,좋아요검색,5,20221126000012
66,폰을 바꾸면서 새로 다시 깔았는데 예전과 다르게 계속 항공권 로딩 오류가 계속 떠서 볼 수가 없어요ㅠㅠ 예전에 너무 잘 사용했어서 계속 사용하고 싶은데 얼른 개선되서 괜찮아지면 좋겠습니다ㅠㅠ,3,20221125201947
67,"PC로 해외렌트카를 신청하다 안돼서 다시 휴대폰으로 하다보니 ""예약은 되었으나 시스템 오류로 카드결제가 안됐으니 다시 시도하거나 문의를 하라""면서 더 이상 진행이 안됩니다. 예약을 취소하고 보험을 추가로 해서 다시 시도해보려고 하는데 어떻게 해야 하나요?",4,20221124131425
68,아니 옛날엔 왕복으로 검색하면 편도별로 다른 시간대 옵션 있는거 눌러가면서 금액 얼마추가하면 다른 시간편에 갈수있는지 확인돼고 그걸로 결제했는데 왜 없애고 더 퇴화되가는거지? 이젠 다른 어플이나 네이버항공이랑 차별점을 모르겠네..,1,20221124091435
69,가격비교 깔끔,5,20221123112841
70,"skyscanner, whatmore?",5,20221119081057
71,ㅡ듣ㆍ,2,20221118160455
72,excellent app,4,20221117195212
73,왜 갑자기 인천~울란바토르 비행편은 표시가 안되는건가요?,4,20221116003304
74,만족합니다,5,20221114222453
75,good app,5,20221114170856
76,항공권 조회가 잘 안되요,3,20221114074118
77,아주 유용 합니다,5,20221114002614
78,좋아요,5,20221112195715
79,굿,5,20221111102232
80,최고내요,5,20221109215752
81,좋아요,5,20221107235833
82,검색이안되고 계속 오류납니다,1,20221105132352
83,서버가 참 ㅋㅋ느리네요,1,20221105122233
84,굿,5,20221104114318
85,2022.6. Skyscanner를 통해 My trip에서 구매하여 2022.7. 취소한 항공권을 아직까지 환불받지 못하고 있습니다. My trip을 연계해준 Skyscanner도 책임을 다해주세요.,1,20221104070236
86,굿! 좋은 정보 감사합니다,5,20221103090648
87,필터 선택하면 자꾸 오류 생겨요 ㅠㅠ 그냥 모바일로 보는게 낫네요 ㅠㅠ,4,20221102204959
88,항공권 구하는 앱중에 최고,5,20221102165645
89,엄지척,5,20221031171437
90,저렴해서 좋지만 구매후 날짜변경이 어렵다,3,20221030231557
