date,content,score,at
0,좋아요,5,20230201110335
1,좋와요 추천합니다,5,20230125234323
2,지도 아래 호텔 이미지 좀 줄여여 사진이 작은 것도 아닌데 지도 좀 잘 보이게 작은 차이가 명품을 만든다,4,20230103081140
3,다른 어플은 1초면 뜨는데 이 어플은 얼마나 용량이 묵직한걸 불러오는지 10초이상 걸리네 페이지가 얼마나 묵직해도 1메가도 안될텐데 참......,1,20221223192635
4,위치 검색이 잘 안됨 강남이라고 치면 명동을 보여줌.,2,20220924124827
5,필리핀 여행에서 긴요하게 사용했음.,5,20220922223655
6,좋다 좋음 좋아,5,20220809172924
7,너무 편리해요,5,20220717190316
8,좋아요,5,20220514220446
9,필요한 정보 쏙쏙,5,20220406154411
10,첼시 응원해줘서 고아뭐요,5,20220312114627
11,굿,5,20220219112407
12,좋아요,4,20220118143221
13,감사합니다,5,20211128194006
14,비교할 수있어서 좋아요,5,20211117124425
15,아주 좋은데 예약사항이 아직 안날아오네요,5,20210914183648
16,"서비스 좋고, 가격도 착해서 다음에 또 이용 해야겠어요...",5,20210719205313
17,좋아요,5,20210714150535
18,좋아요,5,20210705164414
19,좋아요,5,20210517025752
20,트리비고는 호텔스 컴바인 같아용!!,5,20210511153950
21,최고에요,1,20210412222827
22,너무 간편해요,5,20210329200038
23,가격비교가 비교적쉽고 예약이 편하네요,5,20210227015924
24,Good Nice,5,20210215145701
25,가격 대비 양질의 숙소를 선택할 수 있어서 정말 좋았어요 기회 있을때 마다 이용할 계획입니다,5,20210207193827
26,좋아요,5,20210131043135
27,조음,5,20210126231640
28,좋아요,5,20210122100722
29,편하고 좋습니다,5,20210101131009
30,여행시 쓰기가 좋아요~~,5,20201221092313
31,여행 갈때 호텔예약 해서가면 편안 할것같아요. 조금쉽게,5,20201207153319
32,편한이용 좋아요,5,20201202234338
33,계정 삭제 어떻게 하나요?,1,20201112155051
34,안좋음,2,20200920085642
35,아늑한 휴식처입니다,5,20200901215606
36,"이엡좋아요 엄청난개싸요👍 에요,",5,20200730160811
37,사용하기좋습니다 편해요,5,20200720160548
38,굿..,5,20200717104001
39,good,5,20200712203635
40,검색잘되요,4,20200705092711
41,좋네요,5,20200701093811
42,엄마이랑찬렬이랑이번주일요일오전나가서대전복합터미널가서선글라스오후바닷가,5,20200701080537
43,한번에 여러비교를 할우있어 좋아요,5,20200622091239
44,매우땡큐,1,20200528231831
45,좋아용,5,20200527111213
46,짱!,5,20200523140451
47,좋아요,4,20200506212042
48,싸게 예약할수 있어서 고마워요,5,20200501201038
49,우와,5,20200424235115
50,좋아요 너무너무 감사합니다,5,20200417153758
51,Good,5,20200409124356
52,모르겠어요,1,20200327102216
53,죻네요,5,20200320071119
54,너무 좋아요 ^^ 굿 입니다,5,20200319231056
55,good,4,20200319150319
56,가격비교 편리하네요~,5,20200312210127
57,좋음,3,20200310230855
58,thank you,5,20200301202515
59,괜찬아요,5,20200223092824
60,완전대박,5,20200213135902
61,국내 카드로 결재 가능하다는건 장점 하지만 예약한 호텔 기록이 남지 않아 기억하지 못하면 어느 호텔 예약했는지 알수 없음. 이건 트리바고 Q&A에도 나와 있는데 다른 비교사이트는 예약 호텔 확인 가능한데 왜 트리바고만 안되냐고~~~ 아예 예약 호텔 확인 가능하게 하려는 의지가 회사측에는 없어보임 게다가 숙박한 호텔 평가를 할수없음. 어차피 연결될거 부킹닷컴이나 아고다에서 알아보는게 나을거같음,2,20200213120752
62,만족합니다. ^^,5,20200211105433
63,좋아요!,5,20200210182628
64,터무니없는가격공지입니다,1,20200205232847
65,저렴해서 좋아요,5,20200201132707
66,이주좋어요,5,20200127114203
67,년말에 해돋이 를 가족과 보낼 호텔을 찾고 있는데 트리바고 예약부터 호텔전경 모두 볼수 있어 너무 좋습니다 최고입니다ᆢ,5,20200126231024
68,굿,5,20200125210801
69,Very very good,5,20200120124157
70,Good,5,20200113235256
71,재밌어요,5,20200111080334
72,ET 3inches 53248the 4,2,20200105073621
73,나날이 발전하는 모습을 보여주시길바람니다,4,20200103181558
74,요금관련 세목설명과 후기 호텔별비교가 도움됨,5,20200101222717
75,엄청좋아요,5,20200101094802
76,Good,5,20200101002926
77,굿,5,20191229212840
78,goodgoodgood,5,20191228114027
79,덕분에 싸게 여행갑니다 ㅎㅎ,5,20191228014015
80,좋아요~,5,20191226212349
81,좋아요 저렴해요,5,20191224235639
82,보기좋게 만든 어플이네요 이해도 빠르고요,5,20191219192641
83,최공,5,20191219165019
84,좋은거같아용,5,20191219110634
85,좋습니다,5,20191218130144
86,굿~~~~~~~~~~~~~~~,5,20191213184457
87,굿,5,20191212223214
