date,content,score,at
0,간단해요!,5,20230109175425
1,한번만들어봤어요,4,20230109173824
2,싸고 사용안하면 환불도 되구 너무 좋은것 같아요.,5,20230109135732
3,너무나사용하기편리합니다 가성비갑인곳이너무많아 대만족입니다,5,20230109121701
4,포인트 사용 관련 내용을 문의합니다 포인트 사용 유효기간 만료일이 23년 1월 9일까지라고 한다면 상식적으로 9일 23시59까지 인것이지 9일 00시00분에 소멸된다는것은 비상식적으로 이해가 되지않습니다. 포인트 예시에도 20년4월1일발생은 21년4월1일까지라고 예시하고도 소비자가 혼동했으니 책임이 없다고 하는것은 소비자를 기만한 행위입니다. 소비자가 오인할수 있는분분은 적극적으로 수정하고 소비자가 쉽게 확인 할수 있도록 수정하는부분은 회사의 의무 책임입니다. 소비자가 오인하였으니 책임이 없다며 소비자에게 책임전가 하는것은 아니라고 생각합니다.,1,20230109121028
5,편해서 너무 좋아요,5,20230109094902
6,좋아용,5,20230109015407
7,"너무 깡패같은 어플이에요. 예약일 전날, 오전 12시에서 단 1분이라도 지나면 예약일 당일이 되었다는 이유로 숙소 취소가 무슨 일이 있어도 안돼요. 천재지변을 겪지 않는한. 그리고 후기를 써도 밀크라는 어플과 계정이 연동되어 있지 않으면 포인트를 지급받을 수 없어요. 밀크가 뭐하는 어플인지도 모른채로 개인정보 연동을 해야만 포인트를 받을 수 있다는 거에서 또 한 번 놀랐네요. 다신 안쓰고 싶은 어플이에요",1,20230108223002
8,굿,5,20230108205101
9,👍👍👍👍👍,5,20230108192135
10,편해요,5,20230108191350
11,항상편하게 이용합니다.,5,20230108164505
12,여러모로 도움이 많이 되네요~^^,5,20230108151351
13,다른어플들과는 다른 숙소들도 찾아볼수있어 다양한 선택이 가능해서 좋습니다.,5,20230108142110
14,굳,5,20230108133706
15,광고 X를 누르면 꺼져야 할거 아냐 왜 클릭이 되냐고 아놔,1,20230108131415
16,편하네요,5,20230108112142
17,"바닷가가 가까워서 2층 숙소에서 소나무숲 사이로 바다가 보여요..^^ 어메니티가 잘 준비되어 있고 식기류, 전자렌지및 드라이기까지 잘 구비되어 있어 특별한 준비가 필요없어 아주 편했어요. 주인부부도 너무 친절하셔서 1박 더 했네요..^^ 펜션에 아주 예쁜 고양이들이 있어 보고 힐링도 했어요.",5,20230108102810
18,예약 할인 정말 좋아요.,5,20230108080710
19,좋아용,5,20230108080241
20,항상 편하게 여행지 정보와 설명을 이해할 수 있게 잘해주셔요,5,20230107234751
21,좋아요~~,5,20230107204154
22,잘 사용하고 있습니다,5,20230107184906
23,굿굿좋습키당,5,20230107163904
24,굳뜨 룸,5,20230107161133
25,👍🏻 👍🏻 👍🏻,5,20230107142755
26,할인도 많고 이용하기 편해요,5,20230107102023
27,좋아요,4,20230107092449
28,편해요 이벤트 등으로 할인도 많이 되요,5,20230107012926
29,좋아요,5,20230107003639
30,간편하게 예약되서 편함,5,20230106233502
31,정보내용 구웃! 신속한반응! 다좋으네요.,5,20230106225309
32,만족하며 사용중,5,20230106224044
33,수박앱중 최고,5,20230106221708
34,편해요!,5,20230106214959
35,좋아요,5,20230106181659
36,만족크,5,20230106180340
37,나쁘지않음,2,20230106144302
38,예약이 쉽고 할인 쿠폰이 다양해서 좋아요,5,20230106143116
39,굳굳굳굳굳굳굳,5,20230106095256
40,편리하고 빠르면 최고죠,5,20230106085827
41,다른 여러 숙소들과 액티비티 카테고리가 잘나뉘어있어 편하다,5,20230106043114
42,그읏,5,20230105213223
43,좋와요,5,20230105212628
44,따듯하고 편함,5,20230105211921
45,쿠폰 굿,3,20230105172211
46,좋아요,4,20230105121932
47,아주 좋아요! 잘 이용중입니다.,5,20230104231230
48,디자인이 간편하여 사용이 편리함,5,20230104183036
49,가격이 좋습니다,5,20230104155626
50,결제가쉬워요,5,20230104144717
51,쿠키 4개 감사요 ㅋ,5,20230104123609
52,굿,5,20230104112935
53,조아요,5,20230104112409
54,사용하기 편해요,5,20230104003622
55,좋아,5,20230104002802
56,예약도 편하고 리뷰도 좋아요,5,20230104001517
57,청결해요. 스타일러 너무 좋아요,5,20230103210628
58,특가 최고,4,20230103200546
59,굳,5,20230103192300
60,편리해요,5,20230103174037
61,굿,5,20230103124933
62,앱이 세세하니 좋아요 할인도 많이 하구요,5,20230103102259
63,카카오톡결제 할인이 ~~~~좋아요 펜션 예약은 야놀자에서,5,20230103094933
64,숙박 어플로는 이걸 제일 많이 쓰고 쓰기 편하다. 다른 어플들도 많아 괜찮은 어플이 있다면 이동할 생각도 있다.,4,20230103041558
65,편해요,5,20230103021336
66,간간히 잘쓰고있습니다!,5,20230102213937
67,편해요,5,20230102143700
68,"오픈마켓처럼 쉽고 빠른 예약. 종종 쓰다보면 답이 없는 난민촌이 왜 야놀자에 있나 싶긴 하지만, 고급 호텔부터 하루 묵을 모텔과 게스트하우스까지 선택지가 다양한 것은 분명한 장점이다.",5,20230102141452
69,좋아요,5,20230102112926
70,서울/부산/인천만 따로 카테고리 만들어놓고 다른 광역시들은 광역시 취급도 하지 않는 행태가 아니꼬와서 삭제해용,1,20230102095932
71,편리한 검색,5,20230102084137
72,항상 잘 이용중입니다,5,20230102013555
73,조싸요,5,20230102001003
74,간퍈하고 좋네요,5,20230101150808
75,담부터 절대안씀,1,20230101120814
76,"이용편리,혜택많음",5,20230101105210
77,쿠폰좋아,5,20230101100744
78,쉽게 모텔 예약 가능해서 좋아요,5,20221231232719
79,좋아요~ 할인 정보도 좋고 편리해요,5,20221231221544
80,빠른검새 헛된발걸음하지않아서자주이용합니다,5,20221231212322
81,좋아!,5,20221231211514
82,너무 좋아요,5,20221231172742
83,이거밖에 안써서 잘모르겠어요,5,20221231131400
84,요즘같은고물가시대의 필수앱 특가숙박 많이 많이 만들어주세요,5,20221231115918
85,"후기평균적으로 좋게남기는편인데 이번에 좋은후기.평점보고갓다가 너무최악숙소방문해서 최악이여도 별점3점이나주고 솔직리뷰를적었는데 권리침해신고?로글내려간다네요. 이래서후기가좋은거였나요,, 비방글도아닌 솔직후기가 아닌 좋은후기만 남길수없는건데 그부분은 개선되었으면합니다",3,20221230221246
86,자주 이용하는데 너무 좋아요,5,20221230184838
87,필터에 애견동반이있어 편해요,5,20221230161244
88,깨끗하고 깔끔합니다.,5,20221230140651
89,전기차 충전 가능 여부도 추가되었으면 더욱 좋을꺼 같습니다,5,20221230124446
90,좋아요,5,20221230085048
91,저렴하게 이용할수있어 좋아요,5,20221230001452
92,좋음 쿠폰 많이주묜 더 사랑하게씅,5,20221229231727
93,유용,4,20221229225340
94,앱은 너무좋은데 쿠폰이 너무 조금밖에없는게 아쉬워용..ㅠㅠ,5,20221229194004
95,쿠폰이 있어서 싸게 예약했습니다. 감사합니다.,5,20221229184527
96,좋아요!,5,20221229180554
97,사진이나 후기도 사실에 가까운 편이고 이용하기에도 좋아요~!!,5,20221229173243
98,일정금액이상시 할인되는 쿠폰으로 낚인적이 많아 화나지만 앱은 좋습니다,5,20221229164031
99,간편하고 편리해요,5,20221229100546
100,굿,5,20221228213330
