date,content,score,at
0,좋아요~~💯💯💯💯💯,5,20230109153044
1,유용함ㅣ,5,20230109083628
2,마케팅알림동의 안했는데 1월6일에 '테스트' 라고 푸쉬가 왓네요,1,20230109083209
3,좋은혜택 감사합니다,5,20230108180139
4,좋음,5,20230108154600
5,예약수정시에도 빠른처리가 좋았습니다.,5,20230107181602
6,굿,5,20230107115558
7,빠른 예매 좋아요,5,20230107075352
8,좋아요,5,20230107024907
9,진짜 이런 앱에 별 하나도 주기 아깝고 뭐하나 변경한다고 하면 돈 내라고하고 뭐 돈에 환장한것도 아니고 이름 오타땜에 이름 변경되냐고 해도 안된다고 하고 해외항공 예매하고 열받아서 수수료 비싸게 당일취소하고 앱 삭제합니다. 진짜 최악이네요,1,20230106174709
10,"저기 죄송한데요, 왜 고객 UID나 PID로 푸시 테스트를 하십니까? 발신 전에 확인 안 하시나요?",1,20230106145306
11,"운영에서 ""TEST"" 알람을 띄우면 우째? 이런일도 있구나...",1,20230106145218
12,회원은 테스트가 아니다,1,20230106143125
13,좋아요,5,20230106124326
14,좋아영,5,20230105205825
15,여기어때 앱은 할인을 정말 많이 해 줍니다,5,20230105162855
16,굳,4,20230105161031
17,편해요 다만 인증된 시설만 소개하는 곳이 됬음 합니다,5,20230104160404
18,굿 쪼아요,5,20230103221039
19,예약취소 불가. 이유도 설명 안해주고 회사방침 상 안된다고만 함,1,20230103194504
20,쿠폰사용해서 3만5천원이라면서 실제 결제는 4만원 되고 지역을 햇갈려서 취소좀하려니 결제 후 40분 밖에 안지났는데도 환불이 안된다네요 ㅋㅋ 날강도 어플인듯싶습니다만,1,20230103120130
21,김민니 화이팅~,5,20230102181346
22,벌써 두번이상 구매했는데 한달만에 휴면계정되면서 포인트 및 혜택이 다 날라갔네요,4,20230102132259
23,저렴한 가격대로 좋은숙소,4,20230102103556
24,"여기어때 - 호텔, 모텔, 펜션, 항공권 최저가 예약 내꺼야",5,20230102092441
25,"선택한 인원수에 맞게 필터링 좀 해주세요. 4인했는데 들어가면 2인,3인까지도 나와서 다시 검색해야되는게 너무 불편하네요. 방마다 최대 인원수 정보가 들어가있으니 구현하기 어려울것 같지않은데요.",3,20230101145031
26,굳 초이스,5,20230101100610
27,감사합니다,5,20230101080443
28,좋아요,5,20221231113110
29,조용해서 좋앟어요,5,20221231110753
30,좋아요,4,20221231105809
31,좋습니다 정말 많은정보를 확인할수있습니다 감사합니다,5,20221230222048
32,쿠폰도 많이주시고 이용하기 편리한거 같아여,5,20221230092459
33,업데이트하고 네이버로 로그인하려는데 네이버 버튼 아무리 눌러도 반응이없어서 로그인못하고있어요 카카오톡 로그인 누름 가입하는거 바로뜨던데,3,20221229135712
34,예약이 편해요,5,20221229124914
35,깔끔합니다,5,20221228233137
36,광고만 오지게 때리고... 해외숙소는 이름 검색도 제대로 안됨.. 얘넨 진짜 사용자들이 뭘 필요로 하는지 생각을 전혀 못 하는듯.,1,20221228214433
37,"편하게 호텔을 예약하는건 좋은데 리뷰 작성할때 별점이 멋대로 최고점으로 바뀌네요. 예를 들어 서비스1-2점, 서비스2-3점, 서비스3-4점 이렇게 리뷰를 남기면 자동으로 모든 서비스가 4점으로 바껴서 등록됩니다. 다시 수정해도 중간에 딴거누르면 다시 모든항목 최고점으로 찍힙니다. 딱 정확하게 별점만 수정해야합니다. 이러니까 내가 본 안좋았던 호텔도 별점이 높게 나온게 아닐까? 하는 의심이 드네요. 별점 신뢰를 못하겠어요.",3,20221228172928
38,야놀자처럼 금연객실선택항목이 있었으면좋겠어요,4,20221228124211
39,좋아요,5,20221228094056
40,왜 내가쓴 리뷰가 지워져 있을까요? 업체가 삭제가능하게 설정 하신건지? 고객들이 알아야 하는부분은 알아야하지않을까요? 리뷰 지워달라해서 일처리 하는거 보고 결정하겠다 했더니 삭제되어 있네요.. 여기 어때도 믿지를 못하겠네요.,1,20221228072400
