date,date,content,score,at
73,73,good,5,20221231232711
74,74,사용 후기를 통해 쉽게 예매 할 수 있어 좋아요,5,20221231223041
75,75,good,3,20221231215947
76,76,좋아요,5,20221231162546
77,77,세금포함 최종가격 올려 주는 기능은 없나요? 혼동 되네요,4,20221231142125
78,78,저렴한가격 최고의어플,5,20221231141747
79,79,저렴한 가격에 좋은 곳을 소개받을수 있어 좋아요.,5,20221231093122
80,80,내용들이 선택하기 좋게 잘 되어있어요,5,20221231030646
81,81,최고,5,20221230230031
82,82,GOAT,5,20221230210804
83,83,어플 최악,1,20221230202932
84,84,최악의 어플이네요. 카드결재는 되었는데 어플은 완료창으로 넘어가지도 않고 기술적인 문제가 있다는 메시지만 뜨네요. 이런경우 카드결재가 안되는게 정상아닌가요. 여행가기도 전에 정말 짜증나게하는 어플 이런어플 더 피해보지않게 조치하세요. 우리만 그런게 아닌것같은데 별은 안주고싶은데 진행 이 않되는 관계로 1개 투척,1,20221230193718
85,85,호텔가격리뷰장난치지마세요,1,20221230181719
86,86,뭐냐 이거... 요금 짱나네 4만 얼마 뜨길래 결제 했더니 7만 얼마에서 캐쉬백 ...해서 6만원..,2,20221230174033
87,87,"진짜 최악이네요. 예약 시 환불불가인 경우 안내창이라도 뜨게 하세요 장바구니에서 여러개 담고 결제하는 경우 그냥 바로 결제 되어버리니 환불 불가인지 확인할 수 없습니다. 게다가 결제 후 1초만에 취소하려고 해도 취소가 안됩니다..;; 국내 예약사는 일정 기간은 취소가 되도록 해놨는데 아고다는 정말 악질적입니다. 밀어서 결제하기도 환불불가인 경우 순간 터치 한번에 수십만원,수백만원이 날아갈 수 있으니 조심하세요",1,20221230165434
88,88,상세한 숙박시설 정보와 안전한 예약으로 어플 이용에 만족합니다,5,20221230142807
89,89,잘이용하겠습니다. 감사합니다,5,20221230131321
90,90,편리하고 저렴합니다. 추천할게요.,5,20221230122820
91,91,굿잡,3,20221230105642
92,92,good,5,20221230015047
93,93,가장 저렴합니다,5,20221229201336
94,94,항상 이용하는 아고다 제일 져렴한곳이에요,5,20221229195700
95,95,비회원으로 예약했는데 결제는 됐는데 이메일로 예약번호도 안오고 전화연결은 또 안되는데 뭐 돈만 날리라고 만든건지 알수가 없네요,1,20221229181905
96,96,호텔 예약앱중에 제일싼거같아요,5,20221229142917
97,97,편하고 다른 어플보다 가격이싸요,5,20221229134645
98,98,저렴해서 좋아요,5,20221229122622
99,99,가격이 좋습니다,5,20221228223213
100,100,가장 빠르고 정확합니다,5,20221228182656
101,101,어플이중결제사기. 호텔11월예약한게12월에또이중결제당해서 바로당일 문의했으나 결제취소는여행온 이순간도안되고있음 그냥 지들 설계로 사기치는대 곧있으면 고발해서 압류시키든가 대통령민원넣어야지 경찰서부터 들려서 고발들어갑니다 민사소송은 별도구요 나는 시간도 많고 돈도있다 각오해라,1,20221228120731
102,102,좋아요,5,20221228105529
103,103,"장소,가격 모두 만족한 선랙이에요",5,20221227170543
104,104,편하고 선택지가 많아요,5,20221227132331
105,105,좋아요,5,20221227114232
106,106,아고다는 문제발생시 해결이 안됩니다. 서비스도 형편없고. 고객센터는 아예 전화자체가 안되고. 전 이번을 끝으로 아고다는 삭제할 예정입니다.,1,20221227071150
107,107,가격업데이트가 빠르고 정확하군요.,5,20221227000847
108,108,아고다 사용 비추합니다. 앱에 제시된대로 인원수 4명.조식포함으로 룸 결제했는데. 체크인시 호텔에는 2명으로 예약되어 있더군요. 2명추가 요금때문에 체크인때 호텔측에 문의하니 아고다에 확인하라고..근데 아고다에 고객센터는 없는겁니까? 계속 챗봇과 시름하다가 속에 천불이 납니다!!!! 도대체 어디로 연락해야되는건가요?! 다행히 호텔측 정책이 17세 미만은 무료라 숙박비 추가는 환불받았으나 조식은 추가로 비용지불했네요..ㅡㅡ,1,20221226222354
109,109,결제가 편하고 다른 사이트 보다 저렴해욥,5,20221226183318
