date,date,content,score,at
9,9,예약대기시 무한정 기다리게 함 예약대기 기간에 대한 어떤 설명도 없음 언제까지 기다려야하는지 업체에 알아보지도 않으며 기다리라고만하고 시스템 설명도 제대로 못해줌 여행전날에도 계속 예약대기시킴 몇년 사용한 어플이었는데 이제 안 쓸예정,1,20221230103702
10,10,가장 이벤트를 많이하고 쿠폰도 많이 주네요^^ 이용중인 숙박앱중 최고입니다.. 계속 번창해주세요^^,5,20221226113603
11,11,좋아요,5,20221218125256
12,12,울산에도 무인텔이 많이 생겼으면 좋겠어요,5,20221216194216
13,13,굿,5,20221206011626
14,14,입실 하루전에 대기예약했는데 체크인 2시간 전에 예약 취소됨 오랜만에 가족 여행 완전 망침! 데일리 호텔측 문의해도 모른다로 일관하고 쓰레기 어플임 절대 여기서 예약하지 마시길!,1,20221124131033
15,15,뷰가최고에요,5,20221124073643
16,16,사용중!,5,20221115181003
17,17,정말 최악의 앱입니다 예약하고 밤에 숙소가는데 예약이 중복되서 숙소이용이 불가하다고해서 난감하고 황당한 경험을 했습니다,1,20221110210124
18,18,슈퍼로찌등 여러앱에서 지독하게 광고봤습니다 뭐 하루에 몇십번찍 징하게 나옵니다 질립니다 탈퇴고민중입니다 수퍼로찌는 잘못클릭하면 바로 넘어갑니다 여러번잘못누르네요 이런분 많을듯해요 중복광고차단좀 해주세요 리뷰 올리고 오늘 또 잘못눌렀어요 미안해요 하루에 수십번 눌러서 계속 눌러지네요 난 당장 여행 계획도 없는데 잘못눌렀다는 이유로,1,20221110190352
19,19,편안하게 잘쉬어다 갑시다 안락한실내공간 씁니다,4,20221106084815
20,20,그지같음,1,20221101040846
21,21,갑자기 Avast 에서 멜웨어 처리 되네요 ? Avast가 문제인건지 빨리해결되야겠네요,1,20221026071111
22,22,Avast가 악성코드 있다고 지워버림,1,20221026064538
23,23,숙박어플 한두개도 아니고 여기가 특별히 할인을 더 해주는것도 아니고 그냥 다른 어플 쓰시는걸 추천드려요~ 여기는 취소가 어플에서 불가능합니다. 정말 굉장히 불편해요. 저도 그동안 몇번쓰다가 오늘에서야 알았는데 여긴 취소하려면 고객센터에 직접 연락해야 되네요. 찾아보니 이것땜에 고객센터 연락안돼서 피해본 고객들도 많던데 여전한걸 보면 개선의지 자체가 없는것 같네요,1,20221024105458
24,24,디자인이 심플하고 원하는 호텔이 다 있어서 사용하기 편리해요 가장 즐겨찾는 숙박앱이에요!,5,20221011173021
