date,date,content,score,at
1,1,가격도 좋고 호텔도 좋아요 좋은정보감사합니다,5,20221229002256
2,2,호텔 예약 직후에 앱에서 취소가 안되서 호텔에 전화해서 어렵게 취소함,1,20221217132749
3,3,다양하게 필요한 항목을 볼수있어 편리합니다.,5,20221123152037
4,4,앱버그가 있다고 계속 종료되어버려요 삭제하고 다시 깔아도 그렇습니다 어떻게 해야 하나요?,1,20221122142352
5,5,흑인 광고 뭔데?,1,20221121002406
6,6,받자마자 삭제합니다.,1,20221106220312
7,7,조아요,5,20221031011753
8,8,가격비교를 통해 많은 도움이 되네요.,5,20221028171242
9,9,6별이에요,1,20221027143350
10,10,뭔가 정신없긴한데 예매 잘되고 잘쓰고있음,4,20221020200451
11,11,해외에 나갈 때 든든해요,5,20221010172659
12,12,어플 끊김이 너무 잦아요.. 좀 보다보면 응답없음 뜸,1,20221009133552
13,13,결재부터 원하는데로 할수잇어서 좋네요,5,20221004205525
14,14,설명이 자세하고 사진이 많아서 비교하기 좋아요.,5,20220928195040
15,15,보기편함,5,20220923175156
16,16,좋아요,5,20220921215832
17,17,이용하기 편해요,5,20220921183812
18,18,좋아요.,5,20220921062229
19,19,검색이 좋아요~~~,5,20220909005048
20,20,놀러는 가고 싶은데 언제 갈지 모르고 시간도 안 되고 갈 수 있을 때 찾아보려고 미리 다운 받아요,5,20220908185822
21,21,Good,5,20220901012134
22,22,좋아요!!,5,20220826172619
23,23,진짜 바쁜데 결제안넘어가고 개답답한 어플 다른 어플로 바뀨고 3분컷함,1,20220821205156
24,24,사용편리합니다,5,20220806172310
25,25,잘쓰고있어요다른앱과비교되서좋아요,5,20220805151305
26,26,박서준 연락하기,5,20220804195531
27,27,간단하게 선택할수있어 너무좋아요,5,20220730141738
28,28,굿,5,20220728120733
29,29,광고 졸라 역겹다,1,20220726210715
30,30,굿,5,20220722181104
31,31,정보가 많습니다,5,20220716193305
32,32,여러 호텔을 한번에 보며 비교 가능하니 좋아요,5,20220713232641
33,33,좋아요,5,20220709225048
34,34,상담이 친절합니다 빠르구요,5,20220703184833
35,35,한번에 검색이 되니 너무 편해요,5,20220703184325
36,36,최적화개같이해놨노 ㅋㅋ,1,20220625174532
37,37,좋은 어플입니다,5,20220613121658
