,date,date.1,content,score,at
1,74,74,사용후기를통해쉽게예매할수있어좋아요,5,20221231223041
4,77,77,세금포함최종가격올려주는기능은없나요혼동되네요,4,20221231142125
5,78,78,저렴한가격최고의어플,5,20221231141747
6,79,79,저렴한가격에좋은곳을소개받을수있어좋아요,5,20221231093122
7,80,80,내용들이선택하기좋게잘되어있어요,5,20221231030646
11,84,84,최악의어플이네요카드결재는되었는데어플은완료창으로넘어가지도않고기술적인문제가있다는메시지만뜨네요이런경우카드결재가안되는게정상아닌가요여행가기도전에정말짜증나게하는어플이런어플더피해보지않게조치하세요우리만그런게아닌것같은데별은안주고싶은데진행이않되는관계로개투척,1,20221230193718
12,85,85,호텔가격리뷰장난치지마세요,1,20221230181719
13,86,86,뭐냐이거요금짱나네만얼마뜨길래결제했더니만얼마에서캐쉬백해서만원,2,20221230174033
14,87,87,진짜최악이네요예약시환불불가인경우안내창이라도뜨게하세요장바구니에서여러개담고결제하는경우그냥바로결제되어버리니환불불가인지확인할수없습니다게다가결제후초만에취소하려고해도취소가안됩니다국내예약사는일정기간은취소가되도록해놨는데아고다는정말악질적입니다밀어서결제하기도환불불가인경우순간터치한번에수십만원수백만원이날아갈수있으니조심하세요,1,20221230165434
15,88,88,상세한숙박시설정보와안전한예약으로어플이용에만족합니다,5,20221230142807
16,89,89,잘이용하겠습니다감사합니다,5,20221230131321
17,90,90,편리하고저렴합니다추천할게요,5,20221230122820
20,93,93,가장저렴합니다,5,20221229201336
21,94,94,항상이용하는아고다제일져렴한곳이에요,5,20221229195700
22,95,95,비회원으로예약했는데결제는됐는데이메일로예약번호도안오고전화연결은또안되는데뭐돈만날리라고만든건지알수가없네요,1,20221229181905
23,96,96,호텔예약앱중에제일싼거같아요,5,20221229142917
24,97,97,편하고다른어플보다가격이싸요,5,20221229134645
25,98,98,저렴해서좋아요,5,20221229122622
26,99,99,가격이좋습니다,5,20221228223213
27,100,100,가장빠르고정확합니다,5,20221228182656
28,101,101,어플이중결제사기호텔월예약한게월에또이중결제당해서바로당일문의했으나결제취소는여행온이순간도안되고있음그냥지들설계로사기치는대곧있으면고발해서압류시키든가대통령민원넣어야지경찰서부터들려서고발들어갑니다민사소송은별도구요나는시간도많고돈도있다각오해라,1,20221228120731
30,103,103,장소가격모두만족한선랙이에요,5,20221227170543
31,104,104,편하고선택지가많아요,5,20221227132331
33,106,106,아고다는문제발생시해결이안됩니다서비스도형편없고고객센터는아예전화자체가안되고전이번을끝으로아고다는삭제할예정입니다,1,20221227071150
34,107,107,가격업데이트가빠르고정확하군요,5,20221227000847
35,108,108,아고다사용비추합니다앱에제시된대로인원수명조식포함으로룸결제했는데체크인시호텔에는명으로예약되어있더군요명추가요금때문에체크인때호텔측에문의하니아고다에확인하라고근데아고다에고객센터는없는겁니까계속챗봇과시름하다가속에천불이납니다도대체어디로연락해야되는건가요다행히호텔측정책이세미만은무료라숙박비추가는환불받았으나조식은추가로비용지불했네요ㅡㅡ,1,20221226222354
36,109,109,결제가편하고다른사이트보다저렴해욥,5,20221226183318
37,110,110,예약확인하려하니계정이잘못되었는지아무리해도확인할수가없습니다고객센터는전화통화가불가능하니참불편하군요안쓰려고해도,1,20221226172324
38,111,111,나에게맞는요금의호텔을쉽게찾을수있고빠르고정확하며이상발생시고객센터와통화해서즉시해결할수있습니다,5,20221226164225
39,112,112,verygood,3,20221226143850
44,117,117,카드결제가잘안돼요,1,20221225213650
46,119,119,간편하고신속하네요,5,20221225130543
48,121,121,이중결제사기치는중입니다개인기록삭제하세요,1,20221225063351
49,122,122,호텔스닷컴보다백배좋은아고다,5,20221225020953
50,123,123,goodtouse,5,20221224212406
51,124,124,이게무슨경우인가요예약이취소됐는데도아무알림이없어서찜질방에서자게됐네요별점도아깝습니다,1,20221224141913
52,125,125,자동결제가됩니다그리고취소가안된다네요확정이라서,1,20221223183021
53,126,126,여행을위한호텔예약에최고입니다,5,20221223125254
55,128,128,좋은데조금느림,4,20221223004535
56,129,129,이거만한게없는거같네요아직조기예약밖엔안했지만즐거운여행을바래봅니다,5,20221223003313
57,130,130,개인정보변경왜안되나요고객센터에문의도못넣게되어있음,1,20221222220054
59,132,132,호텔스닷컴쓰다가화딱지나서아고다쓰는데백배좋음,5,20221221223527
61,134,134,다체로운할인행사로만족,5,20221221144912
63,136,136,오류심하고예약이랑결제다완료했는데결제중이라뜨고계속오류뜨고이십만원버렸음예약취소제대로안되서나중에멀리해외갈때는안쓰는게좋음예약취소넘더디고예약취소하려니상담원연결도잘안되고한참기다리고개선필요함,1,20221221133535
64,137,137,고객문의채널을챗봇만열어둬서선택지에없는내용은아예문의를못하게막아뒀네요같은호텔에예약후일정변경요청했는데부킹닷컴통해예약한친구들은됐는데저는문의조차못했습니다굳이아고다고집해서쓸이유가도저히없네요,1,20221221131621
65,138,138,한번에찾기쉽고비교도할수있어편리하네요,4,20221221111142
66,139,139,veryuseful,5,20221220235141
71,144,144,광장시장가까워서좋네요,5,20221219194355
73,146,146,할인혜택도많고해외여행갈때호텔예약하기편하고좋아요,5,20221219115356
