,date,date.1,content,score,at
1,27,27,가장최신항공편정보와다수의비교가능한항공편을서비스하여최선의항공편을선택할수있음,5,20221230194534
2,28,28,체크카드로항공권구매했다가알수없는이유로발권취고되고환불도두달니지나도되지않아소비자보호원에서대신처리해줌,1,20221230091811
3,29,29,좋아요싸고즐거운여행을했어료,5,20221228204340
5,31,31,정말편하고좋은것같아요여행잘다녀왔습니다,5,20221228071955
7,33,33,반응이너무느려요,2,20221226201117
8,34,34,싸게예약해서좋네요,5,20221224185710
9,35,35,모든호텔예약은익스피디아에서하고있어요,5,20221224110510
11,37,37,SuperserviceAMAZINGIdoloveexpedia,5,20221218075937
13,39,39,아직까지는굳,5,20221209215852
14,40,40,정보업데이트가상당히빨라자주이용하렵니다,5,20221209120518
15,41,41,여행가고싶도록좋은곳이많아요,5,20221208133705
16,42,42,세부적인사항설명및화면제공에감사합니다,5,20221207165418
17,43,43,이용하기편해서좋았습니다계속이용할것같아요,5,20221206163436
18,44,44,아주편하게세계여행을할수있어늘사용해요숙소와항공권을한방에,5,20221206123952
19,45,45,호텔예약안됨,1,20221205124617
21,47,47,호텔과비행기표를익스피디아통해서예약했는데요취소환불이잘되질않아요익스피디아나빠요익스피디아이용하지마세요,1,20221130164056
22,48,48,저장된정보로쉽게예약가능함,5,20221130113705
23,49,49,빠르고편리함,5,20221129172427
26,52,52,아개짜증나네호텔예약했는데어플리케이션내일정에들어가서볼려하면로그인이안댐어플만번재설치함걍안쓸랜다이번만마지막으로쓴다ㅋ쓰지마세요스트레스받습니다,1,20221127192128
27,53,53,다른앱에서는객실한개예약만되었는데익스피디아앱에서는여러개호텔을예약할수있어서편하게알아보고예약했습니다,5,20221126221040
28,54,54,로그인이안되네요로그인이안되는데앱은왜만들어놓으신거에요별하나도아깝습니다,1,20221126000120
29,55,55,로그인이안되요,3,20221122193718
32,58,58,오류가너무심합니다,1,20221116155832
34,60,60,ReallynotstableformetocheckmyreservationinfoItriedtologinviaFacebookItwasnotworkingformeandkeeprefreshinganddisappearmybookinginfoIdontreallyrecommendittousethisapp,1,20221111155521
35,61,61,총요금이보기쉽게표시되어있어좋습니다,5,20221111070942
36,62,62,유용하게사용하고있음,5,20221110213554
37,63,63,너무느리고변경한일정이나오질않습니다,1,20221110182409
41,67,67,betterthanagoda,5,20221101112426
42,68,68,BrokenwebsiteNotaworking,1,20221029003624
43,69,69,여행지선택에도움을,5,20221025042344
44,70,70,호텔환불정책이자세히나와있지않음,1,20221020231705
45,71,71,항공료가너무비싸게나옴,2,20221018202808
46,72,72,여기서다시는아무것도하지마세요상담원통해당일카드취소했는데취소가안되있네요그리고녹취록도안줍니다세상에이런곳이어디있냐고항공사에직접예약하세요제발,1,20221013144007
47,73,73,goodilovethisapp,5,20221012094825
50,76,76,바보가어니라면다른앱이용하세요,1,20221009144230
51,77,77,저렴하네요굿,5,20221007171633
52,78,78,시인성이좋아요,5,20221007170714
53,79,79,최악임쓰레기임엄청불편함,1,20221007062036
55,81,81,저령하고좋인요,5,20221006003934
56,82,82,ㅁㅊㅉㅡㄴ느ㅡㅁㅅㅇㅁㅇㄴㅊㄷㅈ드,3,20221005190741
58,84,84,주변의숙박정보와예약이가능하여편리합니다,5,20221001151446
59,85,85,취소안됨전화로취소함ㅡㅡ,1,20221001132343
60,86,86,로그인이안됨로그인비번입력이안됨,1,20220929030724
63,89,89,항공예약과호텔을동시에아주편리하게이용잘하고있습니다常利用便利思,5,20220927191246
64,90,90,유용하게잘사용하고있습니다,5,20220927133452
65,91,91,앱없이예약한건은앱에서관리가안되네요사이트에선되는것처럼해놓고선,1,20220926152246
68,94,94,앱이인터넷보다느린것도처음인데너무느려서사용이불가능할수준,1,20220924082709
69,95,95,느리고검색도잘안되고쓰기불편하네요,1,20220917104103
71,97,97,편리하고너무좋음,5,20220915134652
73,99,99,미주및남미에서도유용하게사용하였음,5,20220907185054
74,100,100,매우잘만든여행앱,5,20220904162729
75,101,101,잘쓰고잇어요아직까지사고난거도없구요,5,20220903165132
76,102,102,저렴하고싼곳을잘찾을수있게해줌니다,5,20220902232202
77,103,103,가입이메일이오지않아요ㅜㅜ,1,20220828125737
78,104,104,Greatconvenience,5,20220827164024
80,106,106,무료취소라는데취소가안됨,1,20220825150522
82,108,108,로그인자체가안됨키보드가안뜸,1,20220821211328
83,109,109,로그인이왜이케어려워,1,20220820204424
85,111,111,좋고가격이싸요,5,20220817104821
86,112,112,편하게잘사용중입니다,5,20220815094104
88,114,114,예약확인오류가지속적으로발생하네요시스템이매우안좋네요,1,20220812090317
89,115,115,로그인페이지에문제있음키보드사라짐기존예약을찾지못함,1,20220811055611
90,116,116,일정번호조회가매우불편합니다,1,20220809211134
91,117,117,연결도안되는더이상할말없음,1,20220806122954
92,118,118,고객센터상담원한국인한국말못함외국인상담원일을못함시간반넘게통화했는데해결이안됨비행기표절대사지마세요티켓변경했는데변경도안되고돈두번결제됨점도아깝다ReIalreadycalledserverltimestothecustomerservicecallcenterIwonderifyoudidtranslatecorrectlymycommentaboveThekoreanworkersatcustomsservicecenterdontspeakkoreanandshetoldmeshecantchancemyflightticketnowthatiboughtmyticketindifferentcountryIsntitthesameexpediaandenglishserviceattandantevendidntknowhowtowork,1,20220805213002
94,120,120,액관리안함계정로그인안됨비번설장안됨,1,20220801081120
96,122,122,어플예약시정확하게되었는지확인해봐야합니다특히티케팅이제대로되어있는지도항공사에정확하게확인해봐야합니다뒤통수맞을수있으니여기는쓰지마세요별점개도아깝네요,1,20220730142110
98,124,124,앱이좀느린것빼곤크게어려움없이사용가능하네요,4,20220729144801
100,126,126,싸고좋습니다,5,20220720234056
101,127,127,예약후검색안됨,1,20220720212847
103,129,129,항공권관련해서매통화대기를분에서분씩지속적으로대기하게하고모든환불에관련해서는환불을자발적으로포기하게끔무의미한대화를합니다환불정책등모든돈을받고사후처리하는방식이문제가있으니안전하게여행할분들은다른여행관련회사를이용하는것을권장합니다,1,20220718114546
104,130,130,티켓예약을했는데뭔가확실한서류나정보가부족하다터미널도안나온다,3,20220713104218
105,131,131,알기쉽고편함,5,20220711141915
106,132,132,예약이간단합니다,5,20220710094203
107,133,133,매번해외여행때이용하고있어요추천합니다,5,20220709133023
108,134,134,Ilikeit,5,20220708085735
109,135,135,숙박지를찾기가쉬워요,5,20220707200649
