,date,date.1,content,score,at
0,1,1,가격도좋고호텔도좋아요좋은정보감사합니다,5,20221229002256
1,2,2,호텔예약직후에앱에서취소가안되서호텔에전화해서어렵게취소함,1,20221217132749
2,3,3,다양하게필요한항목을볼수있어편리합니다,5,20221123152037
3,4,4,앱버그가있다고계속종료되어버려요삭제하고다시깔아도그렇습니다어떻게해야하나요,1,20221122142352
4,5,5,흑인광고뭔데,1,20221121002406
5,6,6,받자마자삭제합니다,1,20221106220312
7,8,8,가격비교를통해많은도움이되네요,5,20221028171242
9,10,10,뭔가정신없긴한데예매잘되고잘쓰고있음,4,20221020200451
10,11,11,해외에나갈때든든해요,5,20221010172659
11,12,12,어플끊김이너무잦아요좀보다보면응답없음뜸,1,20221009133552
12,13,13,결재부터원하는데로할수잇어서좋네요,5,20221004205525
13,14,14,설명이자세하고사진이많아서비교하기좋아요,5,20220928195040
16,17,17,이용하기편해요,5,20220921183812
18,19,19,검색이좋아요,5,20220909005048
19,20,20,놀러는가고싶은데언제갈지모르고시간도안되고갈수있을때찾아보려고미리다운받아요,5,20220908185822
22,23,23,진짜바쁜데결제안넘어가고개답답한어플다른어플로바뀨고분컷함,1,20220821205156
23,24,24,사용편리합니다,5,20220806172310
24,25,25,잘쓰고있어요다른앱과비교되서좋아요,5,20220805151305
25,26,26,박서준연락하기,5,20220804195531
26,27,27,간단하게선택할수있어너무좋아요,5,20220730141738
28,29,29,광고졸라역겹다,1,20220726210715
30,31,31,정보가많습니다,5,20220716193305
31,32,32,여러호텔을한번에보며비교가능하니좋아요,5,20220713232641
33,34,34,상담이친절합니다빠르구요,5,20220703184833
34,35,35,한번에검색이되니너무편해요,5,20220703184325
35,36,36,최적화개같이해놨노ㅋㅋ,1,20220625174532
36,37,37,좋은어플입니다,5,20220613121658
37,38,38,조나단광고보고왔는데좋네요,4,20220611144551
38,39,39,광고좀아짜증난다제발바꾸면안되냐유드브나아프라티비광고나올때마다짜증나고불매하고싶어진다,1,20220611131603
39,40,40,간단해서편해요,5,20220602142709
40,41,41,완전쓰레기어플미끼상품으로장난침,1,20220601214457
41,42,42,편리하게알아볼수있어서좋아요,5,20220525130154
42,43,43,필터에서나의필터는정확히뭔가요추천필터같은걸까요,5,20220523194552
43,44,44,최저가검색굿,5,20220521202635
44,45,45,잘쓰고있는데가끔씩가격이맹구처럼나옴껐다키고지웠다깔아도안돼요,2,20220516222756
47,48,48,타어플보다저렴함다른곳비싸고불편한데이건편하네요,5,20220420131558
48,49,49,예약한곳을못찾아서어플을찾아봐도없고메일을확인해도못찾겠음어디에에약한건떠야되는거아닌가요참갑갑한어플이네요그냥중게만하면끝이군요,1,20220417180747
49,50,50,다른앱보다편하다,5,20220408190353
50,51,51,지인소개로써봤는데앞으로계속쓸예정임,5,20220403153220
51,52,52,원래어플에리뷰는안남기는데너무어이없어서처음으로리뷰를남깁니다분명히호텔스컴바인통해예약했는데마이트립에서확인되지않길래다른어플로다시예약을했는데당일에보니이중예약되어있다고하네요호텔스컴바인측에서는각예약업체를중개만해서예약정보는실제예약한업체에서만확인가능하다고하는데그렇게중요한정보를왜사전에제대로공지하지않나요제가어플을다운받고호텔을예약하기까지어디에도그런안내문구는눈에띄지않았습니다상식적으로자기가예약한어플에서예약정보는마이트립에자동으로뜬다고생각하는게당연한것아닌가요지금자세히보니예약메일을트립스컴바인으로보내야트립에추가되는데그것도오른쪽상단의점버튼을눌러서설정에들어가서본인이메일을승인받아야되는거네요안내를이렇게불친절하게해놓고우리는원래이렇다고모르쇠로일관하시는게참어이가없어서리뷰를남깁니다,1,20220402094554
52,53,53,빠른검색과추천,5,20220215225050
53,54,54,예약정보어디서확인합니까,2,20220215123343
55,56,56,왜다른대보다더비싸다정말이다,1,20220111222814
56,57,57,예약하고호텔왔는데폐업한곳이었어요예약취소하고싶어도연결도안되네요호텔스컴바인은유령회사인가요어디에이걸전화하나요,1,20220111212645
57,58,58,앱이안깔려요,1,20220111112116
58,59,59,구분과설명이잘되어있는것같아요,4,20211127130243
62,63,63,한국인에게편리한ui,5,20211122161833
63,64,64,호텔예약을잘못해서일전에취소를했더니환불은안되고예약은취소되서호텔도이용하지못한다는데이건너무말도안되는거아닌가요이런것들을중간에연결하는업체가해결을해줘야되는데전화했더니조선족여자가전화를받고상담을하고말도못알아듣겠고대단한것같네요,1,20211107130023
67,68,68,찾아가는길이너무편해요,5,20211012193724
69,70,70,여러호텔의가격을알아볼수있어좋음,5,20211002230405
71,72,72,좋았습니다이번제주도예행에서잘쓸게요,5,20210905163712
73,74,74,앱이좋은거같아요진짜좋아요,4,20210902092229
74,75,75,마음에드네요,5,20210830102305
76,77,77,많은선택지에서유용한검색가능,5,20210820152526
77,78,78,한번에호텔최저가비교할수있어서좋아요,5,20210818101751
78,79,79,좋은꿀팁입니다,4,20210817184423
79,80,80,현재몇일째접속이안되는상태입니다앱을지우고다시살치해도동일한상태이네요,1,20210806110101
81,82,82,예약취소어려움,1,20210713102039
82,83,83,취소하고싶은데취소가안되요고객센터도없으며취소하는게그리어렵나요예약메일도안날라와서더난감하네요,1,20210704190916
84,85,85,저렴하고좋은곳이널려있어서좋습니다,5,20210623080743
85,86,86,아주잘되어있내요,5,20210622122515
87,88,88,호텔어플중에갑오브더갑,5,20210619230637
88,89,89,상담하기복잡해여,1,20210610165338
89,90,90,숙박하고싶은호텔의가격비교할수있어서좋아요,4,20210605101823
92,93,93,최악임가격비교어플이라호텔취소도안되고고객센터도따로없어서직접부킹사이트들어가서처리해야함네이버에호텔스컴바인예약취소검색해보면얼마나많은사람들이피해를호소하는지알수있음절대저귀여운북극곰에속아선안되요,1,20210526112405
93,94,94,한눈에비교잘되요,5,20210518201554
94,95,95,늘이용하지만항상고맙네요,5,20210518143320
96,97,97,취소불편하네요쓰레기앱,1,20210505204944
100,101,101,예약편함보기편함기타등등,5,20210415032224
103,104,104,예약편함보기편함저렴함,5,20210328192700
104,105,105,어플로예약하고일정취소로예약취소를하면전액환불안됨전화로예약했을때취소하면전액환불가능즉전화로예약해서저처럼일정취소로인한예약취소시돈날리는일없었으면함이어플은단지가격만보는걸로사용하시길,1,20210328101258
105,106,106,여행갈때미리알아보는게편해요가서하면복잡했는데이젠괜찮아요편안해요,5,20210315020018
106,107,107,급할수록가장빠르고효과가있는숙박앱,5,20210307074305
107,108,108,가격이저렴하고정보가다양함,5,20210305001101
108,109,109,정보정확률이좋아요,5,20210304020313
112,113,113,호텔비교하기엔최고,5,20210203060458
114,115,115,검색괜찮음하지만다른호텔사이트가격들이다름가격도제각각이다,4,20210124013903
117,118,118,핸드폰검색오류떠요,3,20201229023127
118,119,119,고객센터연락처두없고ㅜ꽤불편,1,20201227061843
119,120,120,취소하기가극악으로듬한국사람이라면우리나라사이트를쓰시길권장함,1,20201215144037
120,121,121,선택의폭이넓게자세한설명과사진,5,20201125185821
121,122,122,메인화면자체가업데이트된거맞나요원래엄청편하게썼었는데메인화면도바뀌고검색조건넣은뒤에관련호텔들나오는데까지시간이너무오래걸리네요파란화면에곰돌이표정바뀌는거몇분동안보고있으니까이게뭐하는짓인가싶네요예전버전이더빠른거같은데다시안바뀌나요,2,20201122235427
127,128,128,처음해보는데편하네요,5,20201013190854
128,129,129,호텔스컴바인앱안에다른사이트로연결호텔예약시해당앱에서예약확인이되지않습니다ㅜㅠ,5,20201011180659
131,132,132,날짜변경터치인식이안됨뭐죠,1,20200918175613
132,133,133,취소하는게너무어려움,3,20200916192650
133,134,134,진짜옛날엔여행갈때요것만썻는데빠르고지도로보기너무편하고오랜만에들어와보니와왜케느리고지도로보기는왜이래요안타깝습니다ㅠ,3,20200907131410
136,137,137,빠른숙소찾기가능,5,20200804125936
137,138,138,더많은연결카테고리가있음좋겠네요,4,20200729172544
138,139,139,무었보다현장에서의결제가좋아요,3,20200723194613
140,141,141,흠조금비싼편,3,20200718194156
141,142,142,체크카드는결제가불가한가여,1,20200715155704
142,143,143,늘잘이용하고있어요호텔검색에최고입니다,5,20200711204807
143,144,144,여행갈때잘쓰고있어요,5,20200705183822
145,146,146,개줫ㅣㅂ쓰레기임,1,20200628004415
147,148,148,잘해논편인데버벅이되네요,4,20200621175253
