,date,date.1,content,score,at
0,37,37,상세한정보가있고예약과취소가간편해서좋습니다,5,20221231215143
1,38,38,역시저만그런게아니었네요몇년째잘쓰고있었는데이제답답해서못쓰겠어요,1,20221231200605
2,39,39,자꾸로그인이안되는데안정화가리ㅣㄹ된건지,2,20221230231814
3,40,40,앞으로호텔스닷컴이용하지않을것입니다현지언어는지원이안되고영어만지원되며어플리케이션은오류가자주발생하고무엇보다불편합니다오랫동안사용했으나피드백도느리고하여더이상사용하지않을것입니다,1,20221230231640
4,41,41,숙박앱중에가장편리하고좋습니다,5,20221230193600
5,42,42,앱버전이바뀐후로그인을해도내예약을홧인할수없는경우가너무잦다난실버멤버인데심각하게다른앱으로바꾸는것을고려중DonotdownloadthisappUseless,1,20221230185215
7,44,44,에러및로긴불가,1,20221229235005
8,45,45,이거왜사용이더불편해진건가요내여행은로그인새로하라고뜨고로그인버튼도잘안먹고이거다시원래대로원상복구해주세요,1,20221229170123
9,46,46,완전좋아요ㅎㅎㅎ,5,20221229165626
10,47,47,로그인이안됩니다,1,20221229115605
11,48,48,업데이트후로그인도안되고,1,20221229092659
12,49,49,잘쓰고있습니다,5,20221228174022
13,50,50,줜놔느리고로그인수십번해야하고어휴답답해서못쓰겠다,1,20221228123901
14,51,51,호텔스닷컴너무애용하고있는데앱실행시마다로그인오류검색초기화계정설정불가예약확인불가등에러가너무많이납니다ㅠㅠ호환성에문제가있나싶을정도로재설치재부팅다말을듣지않네요개선해주시면너무좋을것같습니다,1,20221228015557
15,52,52,로그인이안돼요ㅠㅠ,1,20221227231504
16,53,53,업데이트이후로매우불편함,1,20221227214916
17,54,54,업데이트를했더니로그인타이핑도안되고엉망으로바뀌었어요,1,20221227211343
18,55,55,로그인이안됩니다앱을지우고새로깔아도로그인실패오류무한반복로그인안된지두달이넘었는데도아직안되네요업데이트가아니라최악의다운그레이드년부터호텔스닷컴이용했는데이젠다른앱으로바꿀때가,1,20221227190135
21,58,58,앱업데이트후쓰기그지같아짐,1,20221226215228
22,59,59,로그인하고내여행보는데왜또로그인하라고묻고진행이안되죠,1,20221226182413
23,60,60,사용하기편해요,5,20221226160520
24,61,61,태블릿으로가로화면으로이용할때화면이진짜작게보입니다수정좀해주세요년째골드등급인데실망이크네요진짜,1,20221226160340
25,62,62,vip등급으로항상숙박은호텔스닷컴이용한사람입니다만업데이트이후로그인안되고비밀번호찾기누르면이상한계정설정페이지로넘어가는데거기는로그인되어있어서비번바꾸기조차도안되고당연히지금비번을모르니바꾸기가불가능앱망하는거순식간일듯뭘업데이트한건지모르겠네답답해서여기에남깁니다그래봐야복사붙여넣기답변달리겠지리워드다초기화하려는건가,1,20221226070451
26,63,63,와이어플화면풀때뜨는거어찌끔거의바이러스수준인데,1,20221225232316
27,64,64,그동안잘사용했는데이번에예약한호텔이일방적으로호텔스닷컴오류로취소되서추운날씨에시간정도고생했다결제취소는오늘됬고고객센터는전화도안되고문자한개보내서취소통보하고오늘부터이용안할계획그동안번정도사용했는데이번에고생하고정떨어짐凸망해라,1,20221225212857
28,65,65,최악입니다가격순정렬도싼순서로만되고화면이잘넘어가지도않아요,1,20221225171113
31,68,68,호텔스닷컴으로예약했는데해당장소에가보니본인들은호텔스닷컴으로예약을받지않는다고합니다환불요청하려는데고객지원센터도응답이없네요환불부탁드립니다,1,20221225110614
32,69,69,검색후지도에서호텔클릭후왜호텔목록이아래로안넣어지나요진짜개불편해요그리고필터에서터치도안되는옵션도있고저번어플과홈피가훨씬좋았는데왜이렇게바꿨는지이해가안됨,2,20221224151316
