,date,date.1,content,score,at
0,14,14,인터파크투어자체가비회원AS가너무안좋아서별루입니다서버폭주자동취소된것도환불안해줘서전화상담연결하려고통화요금만만천원내고분기다리면자동으로끊어서대기순번유지안되어서통화못하고상담받으려고깔게되고사전연락한번안주고환불수수료없이환불되긴했지만상담못받은통화료만천원이수수료같은기분으로환불받게되네요일단비회원이용비추천이고뭔가이용에불편이많아요,1,20221229111712
1,15,15,안될때마다삭제재설치해되서불편함제주여행만들기비행기장바구기넣었는데다른항목으로안넘어감한두번이아니라넘불편함,2,20221227111024
2,16,16,해외여행조금씩재개되면서다시둘러봤어요상품구경부터결재까지편해서좋아요,4,20221227093310
3,17,17,개도아깝네요웹관리도못하시고ㅋㅋㅋㅋㄱ,1,20221226144915
5,19,19,왜인터파크만상대적으로타앱보다속도가늦게느껴지는건지,3,20221225020559
6,20,20,운항결항인비행기표를당일에팔고서는톡집사고전화고연결도안되는웃기는회사입니다,1,20221223172746
7,21,21,이제슬외국나가려고최저가항공권찾다가인터파크도착올때갈때내일정에맞추고가격도저렴하게항공권구매성공ㅋㅋ갈땐국적기올땐엘씨씨ㅋㅋ내맘대로되니나이슼,5,20221216135033
8,22,22,여행톡집사에항공권환불문의남겨놨는데답이없네요그리고고객센터에전화하면왜받지도않고끊어버리죠,1,20221214133804
9,23,23,이용이간편하고항공편도선택지가많아서만족합니다항공예약후숙소예약도같이할수있어서편리해요,5,20221212191032
10,24,24,ui가깔끔하고직관적이라좋습니다또한국내외숙소부터항공까지원스톱으로사용할수있어편리합니다마지막으로여행관련컨텐츠나기획전들이적절하고유용하게잘배치되어있어편리합니다,5,20221212162045
12,26,26,로그인에서무한로딩됨어쩌라는거임,1,20221205174710
14,28,28,아진짜하다가튕기고하다가튕기고정도껏해야지업데이트해도맨날똑같고뱅기고호텔이고재검색하는것도매번빡친다,1,20221202090929
15,29,29,가이드님이친절하시고항공호텔매우만족합니다박일은짧아서박일상품이였으면더좋았을것같아요,5,20221201122527
17,31,31,앱내부팝업을화나도록띄움당일안보기눌르면광고로이동,1,20221123141630
18,32,32,어느빡대가리들이앱개발했냐진짜쓸데마다암걸릴것같음회사에서월급더주고제대로된놈뽑던지외주를줘라ㅋㅋㅋ진짜세기맞냐ㅋㅋㅋㅋㅋ호환하나도안되고ㅋㅋㅋㅋㅋ개느리고ㅋㅋㅋ티켓은왜또마이크로소프트연결하는건데ㅋㅋ진짜ㅋㅋㅋㅋㅋㅋ월급도둑놈들ㅋㅋㅋㅋ아진짜폰던지고싶다,1,20221115235401
19,33,33,박일일정으로에어서울타고보라카이다녀왔다월일귀국예정이었으나태풍으로전날오후시부터배가끊겨보라카이에서나오지못하였고현지여행가이드인필굿투어는한국쪽과연락해야한다고아무대책도전달해주지않고나는너무답답해전날부터인터파크투어쪽에메일로물어봤으나읽은후답변도없이무대응으로일관한다보라카이내에서숙박은자비로박연장후비행기여부확인해준다더니연락이없어다시한번물어보니일오늘부로일출발예정인에어서울편으로변경되었다알려준다다음날비행기타기위한픽업시간까지알려주며늦지않게준비하라고톡으로전달해주고다음날보라카이에서오후시에출발해공항에도착해서보니정말어이없게도비행기티켓변경이나연장된게아니라아무것도없이그냥공항으로티켓도없이보낸거였다너무당황스럽고화가났으나부랴부랴티켓을찾아봤고다음날까지매진결국일뒤티켓예매후공항근처에서박후귀국했다,1,20221105105740
20,34,34,앱속도가조금더빠르면좋겠어요,3,20221104133808
21,35,35,최악업계에서도태될것으로보임,1,20221031095629
22,36,36,좋아요저렴하고,5,20221029115758
23,37,37,적절한가격으로간편하게되있습니다가이드없이관광할수있게되어있어더좋았습니다,5,20221019190848
24,38,38,숙박예약의정석,5,20221012142844
25,39,39,돈받는건일사천리취소처리는몇일이지나도안해주는클라스다시는이용안합니다상담사연결은그냥불가능하다고보시면됩니다,1,20221012101910
26,40,40,다괜찮은데다른호텔앱과비교했을때속도가너무느립니다,4,20221010114710
27,41,41,아직많이애용하지는않았지만여행자를위하여빠르게처리하기에도움이되는앱입니다,5,20221002182751
28,42,42,숙소잘예약해서잘다녀왔어요,5,20220919175703
29,43,43,국내숙소예약할때자주써요쿠폰도많이주고피드백도훌륭합니다,5,20220909234311
