,date,date.1,content,score,at
1,46,46,처음사용대만족,5,20221227191650
2,47,47,여기서산티켓이제대로작동안함,1,20221221093413
3,48,48,항공권다시는여기서결제안함수수료로벌어먹고사는곳근데전화는또제대로안됨,1,20221219143122
4,49,49,서비스는좋은데결제수단카카오페이좀헤주세요다른건할인이안되서싫어요,3,20221214194952
5,50,50,프라이빗가이드를이앱으로예약할수있다고해서설치했습니다여행계획이취소되어실제예약은못해봤지만프라이빗가이드외에버스투어나택시투어도예약할수있고박물관이나관광지예약도가능해서좋았습니다다만예약이하루단위로이뤄지는점프라이빗가이드의경우필터가제역할을못해낸다는느낌이었습니다분류가안되더라구요그래도이런앱이있다는것만으로도세상이많이좋아졌다는생각이들정도네요,5,20221213175725
6,51,51,예약을완료되었을때캐린더연동이되면좋겠네요,5,20221211145434
7,52,52,환불안해주네요저도당했습니다,1,20221205150120
8,53,53,그지같이느리고UX불편하고내가다시이걸로사용하면여행을끊겠다이걸서비스라고하냐점도짜증,1,20221203154641
9,54,54,편하려고선택했는데고객응대가너무아쉬워요문의는다자동으로넘어가서상담사와상담하려면거의하루잡고해야함난계속기다려야됨내가답안하면자꾸종료함ㅋㅋ질문을했는데도질문더없으면종료하겠다하고맘대로상담종료함분명질문했는데ㅋㅋ아ㅋㅋ담엔안쓸듯해요,2,20221203055144
10,55,55,최악이네요환불도안되고이런사기꾼들을보았나,1,20221202204252
11,56,56,다른분들이왜쓰지말라고하시는지알것같아요기본수수료도다른앱들보다비싸지만한군데서할수있는점이좋아서이용했었는데혹시라도환불가능성이있다면안쓰는게좋을것같아요환불수수료도비싼편이고렌터카환불도업체에연락하면바로되는걸코로나때문에취소요청한다고하니밤시에문자와서증명서류보내라고하고정신없는와중에확진문자메일로보내놨더니다음날이용예정일까지답변이없어문의로또물어보니예외적취소사항이아니니수수료내라고아니첨부터취소수수료있는것인지하고있었고코로나라서예외적취소사항이라면동일하게처리해주어야하는것아닌가요왜확진문자를보내니예외적취소사항이아니라는건지그건제가확진증명서보내지않더라도내부규정상정해져있어야하는것아닌가요왜이렇게번거롭게일하시는지모르겠어요,1,20221202140832
12,57,57,여행을더욱편안하게즐길수있어서좋았어요다만불편한점이하나있었는데리뷰를쓰다가중간에수정하고싶은부분이있으면글자사이를클릭하잖아요근데글자사이클릭이안되고전체선택이돼서다지우고다시써야돼요ㅠ제폰이이상한건진모르겠지만아무튼넘불편해서후기써보아요,5,20221125181445
13,58,58,업데이트했는데진짜못쓰겠음도대체예약을하라는건지말라는건지모르겠음날짜선택하고옵션선택하라는데날짜선택하면옵션선택이안되고둘다되면금액조회가안되고셋다되면다음단계로안넘어감대체뭘하자는건지모르겠음앱종료후다시실행해도변화가없고이걸한번쯤반복해도안되서빡쳐서리뷰남김,1,20221124170056
14,59,59,여기는고객센터품질관리안하시나요진짜엄청잘쓰던앱인데고객센터랑연락하고이제다시는안쓸예정입니다상담사가통화하시면서한숨쉬시고심지어뭐상담사가물어본거에답변하면그거찾을때까지아무말도안합니다전전화가끊어진지알았어요심지어나중에는알아볼게요이러고전화끊어졌어요진짜상담품질관리하세요제발이런상담을년에한다는게믿기지가않아요상담경험이앱경험다망칩니다,1,20221124093427
15,60,60,진짜별한개도아깝다예약하고결제까지했는데현지담당자가일정안된다고취소하고일정가능한지문의하면답장도안해주고그냥네이버블로그보고자력갱생이답이다고마운블로거에게보상해주고싶다,1,20221124082637
16,61,61,여기로예약하지마세요상담원연결안되고답도안합니다최악이네요,1,20221123163825
17,62,62,좋은제품개발자,5,20221117203507
18,63,63,최악입니다해외항공귀국스케줄이다음날로일방적으로변경되었는데알림도주지않고그대로있다가항의하니까그제서야알려주려고했다이런것도알려주지않고조정해주지않으면서취소해달라니까발권수수료인당만원무조건받겠단다뭘했다고발권수수료를받습니까무조건환불불가라니까다들여기말고발권수수료없는곳에서예약하세요여기서비스가최악입니다연락도들고느리고진짜제가사용한여행서비스중에최악의경험이네요전화절대안받음ㅋㅋㅋㅋㅋㅋㅋ뭐처음부터동의를구했다고답변다시겠죠생각해보세요항공사에서일방적으로일정변경하고그대로가만히있다가취소할때는내가예약해줬으니발권수수료인당만원씩내라공지했으니까그럼고객들이알수있게무조건환불불가능합니다라고써놓으세요항공사가일방적으로귀국일정을변경해도무조건내세요라고,1,20221115153114
19,64,64,가입해도쓸데없는쿠폰만줌,1,20221110053336
20,65,65,환불금액에표시가안되는최악의앱환불시환불수수료원으로안내된화면을보고취소했으나취소수수료는부가됨문의를하려면상담원연결까지너무오랜시간이걸림,1,20221103170809
21,66,66,하노이경유방콕노선샀었습니다갈때나올때나일정대로진행이된적이없습니다올때는주말낀금요일에귀국일정변동됐다고메일보내면휴일에도상담전화받으실건가요상담사하고통화할때도중요멘트는교묘하게끓기게하고녹음자채를못하게하려는수작상당히의도적이고계획된야만시대를재현하려는원시범죄집단같습니다암튼올때는귀국편버리고에어아시아편도끓어서귀국했습니다생각잘하세요여행망칩니다,1,20221029100927
22,67,67,환불이너무잘되요ㅎㅎ,5,20221028162603
23,68,68,정말열받습니다써보지도못한투어티켓돈만날렸네요당일유럽현지오전시분에구매였고규정에아무리이용일구매후취소시환불불가라지만바로환불요청했는데어이가없네요집결시간이후는구매하지못하도록막거나그이후시간대상관없이이용가능하면정확한내용안내라도하던가당일구매후바로당일환불취소요청했는데어떠한피드백도없이일주일지나고전화했더니무조건환불불가라는답변만하고열받아서끊었다가바로다시전화했더니연결이안되네요일부러피하는건가요장난하나요어플에서환불완료됐는지반려됐는지내역도없고고객한테피드백도없고환불못하겠으면적어도왜반려됐는지고객에게피드백이라도해줘야하지않나요뭐이런곳이다있나요오죽하면소비자고발센터까지상담했을까요만원쌩돈만날렸어요어이가없습니다이리뷰지우지마세요지우면또올릴거고계정막음다른계정으로도올릴겁니다절대사용마세요,1,20221028120608
24,69,69,여행갈때마다유용하게사용하고있어요,5,20221026222852
25,70,70,어플잘사용하고있는데요도시선택에서국내는제주부산김포청주만보이게끔바뀌었더라구요예전에는모든공항을선택할수있게한눈에보이게끔했었는데지금은검색을해야뜨네요,5,20221019120233
26,71,71,그지같은사이트ㅡ일본가는항공권예매하고취소했는데만원날라감ㅡ취소할때위약금만원결제되서짜증나도그러려니했는데환불할때만원빼고되길래저나해서물어보니여행사에서가져가는거라말함그래서규정어딨냐고하니구석구석찾아봐야적혀있는자기네규정임ㅡ일단결제누르면위약금나감여행다니면서이런데첨봄,1,20221018104715
27,72,72,메시지푸시알림이안떠서업체로부터의메시지에대해일간답장하지못했네요그외엔사용성이좋습니다,5,20221017143852
28,73,73,티켓구매했는데문자로큐알안와서시간날림,1,20221011142102
29,74,74,예매되지도않는표를파는사기꾼회사,1,20220929183812
30,75,75,상담원오전문의저녁에답변오고여행사전화도안받고최악임처리속도에휴,1,20220928113743
31,76,76,어제비행기예약했다오늘취소했는데환불까지개월개월이거조선시대아닙니까저여행업년이상했구요마이리얼트립대표님도만난사이입니다근데정말이건아니라고봐요지금이야사람들몰리니그러겠지만이런컴플레인은당장이라도고쳐야합니다소문금방납니다대표님께전화할려다가그냥여기남깁니다,1,20220923220136
32,77,77,별한개도아깝습니다항공권은여기서절대구매하지마세요항공권을변경하거나취소할때는때론시간마다가격이변경되는게심해서빠른응답이필요한데전화는우선안되고대문의라고있는곳에아침시에올려도저녁시까지답변못받을수도있는곳입니다고객들만피말리게하니항공권여기서구매하는건절대비추입니다,1,20220923150822
33,78,78,건당환불수수료만원이나해먹는즐거운여행사,1,20220921181231
34,79,79,쓰레기업체임제주뽀로로테마파크입장권예매했눈데바코드티켓제공안됨고객센터연락도안됨,1,20220914145246
35,80,80,직관적이고편합미당,5,20220909184354
36,81,81,별한개도아깝네요절대쓰지마세요항공권예약했다가취소하면서항공수수료부분별도언급안해줘서큰돈날렸습니다물론운임규정스스로확인안한잘못도있긴하지만당연히여행사에서는자기네들수수료뿐아니라항공사수수료도포함해서말해줘야되는게맞는거같은데다른분들은이어플절대로사용안했으면좋겠습니다전화통화도잘안되고대응도늦고후기잘안남기는데남기게되네요한마디로쓰잘데기없고쓰레기어플입니다,1,20220908150218
38,83,83,이어플통해eSIM구매QR코드메일보냈다는데안와서문의했으나답변없음전화도안받음결국로밍했고공항가서와이파이도시락에문의해보니마이리얼트립에서이메일주소잘못입력했다고함공항의와이파이도시락은eSIM담당안하는데거기서새벽시에개인적으로처리해주심일을이렇게처리하는데뭘믿고이어플을더쓸까요뉴스에서도말많고소송안걸리는게용하네요쌩돈만날리고별한개도아까워요,1,20220907165832
39,84,84,항공권구매하러들어왔는데다른상품들도많아서구경하다가숙소랑투어도예약했네요번거롭지않게한곳에서모두예약할수있어서여행갈때이어플만있으면문제없을거같아요,5,20220901234300
40,85,85,전화를너무안받아요ㅠ,1,20220829092857
41,86,86,최악이에요업체랑도얘기끝난거를취소신청처리안해주고업체에환불관련알아본다고하고고객센터는분째대기시키다통화도안되고채팅창에서는똑같은말알아본다는사진캡쳐로업체랑얘기한것도보여줬는데도처리안됨티켓구매할때는빨리결제되면서그이후어떠한것도해결안되는최악의회사ItstheworstIvetalkedtothecompanyaboutitandtheyrenotgonnatakecareofcourseItoldthecompanythatIwouldlookintotherefundandthecustomercenterwouldwaitforminutesbutIcouldntmakeacallandItoldthecompanythatIwouldlookupthesamewordsinthechatwindowbutitdidntwork,1,20220824152714
42,87,87,내가살다살다모든리뷰통틀어첨써보네ㅋ월일환불신청한걸한달이다되도록왜안해주쇼환불신청도몇번이나하그전화를분동안몇번씩연결해도받지도않고프로도아니고수수료때고줄꺼빨리좀주시던가답이없네진짜최악최악개최악전화를받던가몇십분을했다,1,20220822060919
43,88,88,취소요청을했는데아직도환불이안되어있는데뭐죠,2,20220821191745
44,89,89,항공권구입하면모바일티켓바로연결가능했으면좋겠네요,4,20220820164249
45,90,90,잘쓰고있습니다,5,20220817172250
46,91,91,사용성이편리합니다,5,20220817160527
47,92,92,약간의느림과문제점이있었지만그래도나쁘지않게사용했는데갑자기서비스가원활하지않습니다잠시후다시시도해주세요라는표시만나오네요지우고다시깔아도마찬가지에요이건뭔가요ㅡㅡ,1,20220812235415
48,93,93,왜매번이름과여권번호카드번호등을새로써야하나요매우불편합니다,1,20220811114356
49,94,94,별개도주기싫은최악인어플환불진행하는데한달은기본이고전화는겁나게안받음기본분은기달려야하고결국받지도못해서먼저끊어버렸어요참통화하기어렵네요여기제발이어플이용하지마세요부탁드립니다전화하기가장들고최최최악입니다,1,20220802142342
50,95,95,왜개인정보수정이안되나요,1,20220731223137
52,97,97,항공권네이버에나온것보다원씩더비쌉니다굳이쓸이유가있나싶네요,3,20220730134136
53,98,98,회원가입이되지않네요Unknown이라고뜨고더이상진행되지않습니다,1,20220730081841
54,99,99,만원이어플을사용하며손해를본금액입니다일정이변경되어뒷시간비행기를탑승하려고예매를한뒤에앞에있는것을취소하려고조회를했는데왠걸대한항공에는떡하니적혀있는내예약이여기에는몆번을조회해도조회가안되는신비한경험을함과동시에일반월급쟁이가갑자기감당하기엔계획에도없는큰출혈을받아들이게생겼습니다물론취소를함으로서나오는수수료는지불을해야죠수수료지불이고나발이고조회자체가안되서만에가까운금액을눈앞에서날리게생겼네요ㅋㅋ제발이리뷰를많은분들이보고일정변경따위꿈에도꾸지말라고말하고싶네요,1,20220727224445
55,100,100,덕분에편하게여행했습니다,5,20220724223035
56,101,101,환불진행이일소모되며어떤약속도전혀지키지않는최악의경험환불신청및완료됐다문자옴카드사사정에따라일정도걸린다고함너무환불이안돼서차문의좀예외적인경우지만오래걸릴수도있다함카드사에전화해보니환불신청이안돼있다해서다시전화항상대기시간분정도걸려서확인뒤반드시먼저전화혹은문자달라고말함하루종일안와서결국다음날먼저제가전화했음환불이완료됐다는것도전화주겠다는것도어떤약속도안지키는정말짜증나고화나는경험이었네요다신이용하지않을듯합니다,1,20220722151119
57,102,102,로그인이계속안돼요휴면계정해제해준다고하는데자꾸로그인실패로반복되네요,2,20220721185616
58,103,103,휴면계정해제하려고하는데사용자인증실패로다시로그인하라고만뜨네요번째입니다조치좀해주세요,2,20220721153808
59,104,104,업데이트하래서눌렀는데계속뱅글뱅글돌아가기만하고계속대기중앱실행도안되네요도대체뭐가문제인가요,1,20220719125521
61,106,106,아직모르겠음,4,20220716202910
62,107,107,여행필수어플,5,20220716165013
63,108,108,노답무한반복,1,20220715152546
64,109,109,항공권예약도편리하고무엇보다도취소나결제부분에있어서처리가빠른점이너무나도만족스럽습니다,5,20220714215409
65,110,110,오류해결이빠릅니다,5,20220710220722
