,date,date.1,content,score,at
2,33,33,가장상용하기편한항공권검색앱,5,20221227192032
4,35,35,이제야도못믿겠넹제주항공앱이더싸네적당히차이나야지,3,20221223222215
8,39,39,공정정확합니다,5,20221220141422
9,40,40,언어선택이전에는있었는데지금은없어졌나요,5,20221216122117
10,41,41,사용이편리합니다,5,20221216003850
11,42,42,트립닷캄같은환불안되는사이트는연결시키지말아주세요검색하면신문에도피해경고까지기사난회사입니다평점도가짜예요불만족평들어가면피해자가수두룩합니다,1,20221214120156
12,43,43,Everywhere하나도안맞아요클릭하고들어가면그가격대가아예안보임,1,20221214025450
13,44,44,실시간검색결과로예매하기편리합니다,5,20221213121711
14,45,45,항공권싸게구매했어요,5,20221213001208
16,47,47,검색이안되요시에하니몇개뜨지도않고혹시나해서포털에검색하니여러항공사뜨는데필터만들어가면오류걸려요ㅡㅡ,1,20221210224316
17,48,48,최저가로제주를자주애용합니다,5,20221210205348
18,49,49,여행에유용한정보를제공해매우편리합니다,5,20221209080234
19,50,50,최저가라고누르면무슨전부다가격이배임원래안이랬는데여기서항공권만번이상은산거같은데요즘왜이러지,2,20221208123919
20,51,51,진짜항공권검색너무느려서티몬으로알아봄걍,1,20221207112418
21,52,52,저장해둔일정에가격변동생기면띵똥알려줍니다,5,20221205220045
22,53,53,티켓은고르고실제들어가면다없는티켓이라고나와요,1,20221205210929
24,55,55,엄청불편한결제,1,20221204204516
26,57,57,왜낙시질인가요무작위검색하면저가로나왔다가안으로더들어가면틀리나요,1,20221202074750
27,58,58,렌터카가완전멋있음,5,20221201091014
29,60,60,여러분이용하지마세요eDreams와같은환불불가옵션붙여서예약하도록유도하는항공권대행사이트와협약맺고고객등쳐먹는곳입니다,1,20221130233138
30,61,61,너무좋네요여러가지다른항공예약어플보다도잘돼있어요깔끔하고관련된정보를알기쉬워요계속이용하겠습니다,5,20221128060310
31,62,62,작년까지잘썼는데김포제주항공권이개밖에안나오는게말이되나요,1,20221128005144
35,66,66,폰을바꾸면서새로다시깔았는데예전과다르게계속항공권로딩오류가계속떠서볼수가없어요ㅠㅠ예전에너무잘사용했어서계속사용하고싶은데얼른개선되서괜찮아지면좋겠습니다ㅠㅠ,3,20221125201947
36,67,67,PC로해외렌트카를신청하다안돼서다시휴대폰으로하다보니예약은되었으나시스템오류로카드결제가안됐으니다시시도하거나문의를하라면서더이상진행이안됩니다예약을취소하고보험을추가로해서다시시도해보려고하는데어떻게해야하나요,4,20221124131425
37,68,68,아니옛날엔왕복으로검색하면편도별로다른시간대옵션있는거눌러가면서금액얼마추가하면다른시간편에갈수있는지확인돼고그걸로결제했는데왜없애고더퇴화되가는거지이젠다른어플이나네이버항공이랑차별점을모르겠네,1,20221124091435
38,69,69,가격비교깔끔,5,20221123112841
39,70,70,skyscannerwhatmore,5,20221119081057
41,72,72,excellentapp,4,20221117195212
42,73,73,왜갑자기인천울란바토르비행편은표시가안되는건가요,4,20221116003304
44,75,75,goodapp,5,20221114170856
45,76,76,항공권조회가잘안되요,3,20221114074118
46,77,77,아주유용합니다,5,20221114002614
51,82,82,검색이안되고계속오류납니다,1,20221105132352
52,83,83,서버가참ㅋㅋ느리네요,1,20221105122233
54,85,85,Skyscanner를통해Mytrip에서구매하여취소한항공권을아직까지환불받지못하고있습니다Mytrip을연계해준Skyscanner도책임을다해주세요,1,20221104070236
55,86,86,굿좋은정보감사합니다,5,20221103090648
56,87,87,필터선택하면자꾸오류생겨요ㅠㅠ그냥모바일로보는게낫네요ㅠㅠ,4,20221102204959
57,88,88,항공권구하는앱중에최고,5,20221102165645
59,90,90,저렴해서좋지만구매후날짜변경이어렵다,3,20221030231557
