,date,date.1,content,score,at
0,3,3,다른어플은초면뜨는데이어플은얼마나용량이묵직한걸불러오는지초이상걸리네페이지가얼마나묵직해도메가도안될텐데참,1,20221223192635
1,4,4,위치검색이잘안됨강남이라고치면명동을보여줌,2,20220924124827
2,5,5,필리핀여행에서긴요하게사용했음,5,20220922223655
3,6,6,좋다좋음좋아,5,20220809172924
4,7,7,너무편리해요,5,20220717190316
6,9,9,필요한정보쏙쏙,5,20220406154411
7,10,10,첼시응원해줘서고아뭐요,5,20220312114627
11,14,14,비교할수있어서좋아요,5,20211117124425
12,15,15,아주좋은데예약사항이아직안날아오네요,5,20210914183648
13,16,16,서비스좋고가격도착해서다음에또이용해야겠어요,5,20210719205313
17,20,20,트리비고는호텔스컴바인같아용,5,20210511153950
19,22,22,너무간편해요,5,20210329200038
20,23,23,가격비교가비교적쉽고예약이편하네요,5,20210227015924
21,24,24,GoodNice,5,20210215145701
22,25,25,가격대비양질의숙소를선택할수있어서정말좋았어요기회있을때마다이용할계획입니다,5,20210207193827
26,29,29,편하고좋습니다,5,20210101131009
27,30,30,여행시쓰기가좋아요,5,20201221092313
28,31,31,여행갈때호텔예약해서가면편안할것같아요조금쉽게,5,20201207153319
29,32,32,편한이용좋아요,5,20201202234338
30,33,33,계정삭제어떻게하나요,1,20201112155051
32,35,35,아늑한휴식처입니다,5,20200901215606
33,36,36,이엡좋아요엄청난개싸요에요,5,20200730160811
34,37,37,사용하기좋습니다편해요,5,20200720160548
39,42,42,엄마이랑찬렬이랑이번주일요일오전나가서대전복합터미널가서선글라스오후바닷가,5,20200701080537
40,43,43,한번에여러비교를할우있어좋아요,5,20200622091239
45,48,48,싸게예약할수있어서고마워요,5,20200501201038
47,50,50,좋아요너무너무감사합니다,5,20200417153758
51,54,54,너무좋아요굿입니다,5,20200319231056
53,56,56,가격비교편리하네요,5,20200312210127
55,58,58,thankyou,5,20200301202515
58,61,61,국내카드로결재가능하다는건장점하지만예약한호텔기록이남지않아기억하지못하면어느호텔예약했는지알수없음이건트리바고QA에도나와있는데다른비교사이트는예약호텔확인가능한데왜트리바고만안되냐고아예예약호텔확인가능하게하려는의지가회사측에는없어보임게다가숙박한호텔평가를할수없음어차피연결될거부킹닷컴이나아고다에서알아보는게나을거같음,2,20200213120752
61,64,64,터무니없는가격공지입니다,1,20200205232847
62,65,65,저렴해서좋아요,5,20200201132707
64,67,67,년말에해돋이를가족과보낼호텔을찾고있는데트리바고예약부터호텔전경모두볼수있어너무좋습니다최고입니다,5,20200126231024
66,69,69,Veryverygood,5,20200120124157
69,72,72,ETinchesthe,2,20200105073621
70,73,73,나날이발전하는모습을보여주시길바람니다,4,20200103181558
71,74,74,요금관련세목설명과후기호텔별비교가도움됨,5,20200101222717
