,date,date.1,content,score,at
0,78,78,쉽게모텔예약가능해서좋아요,5,20221231232719
1,79,79,좋아요할인정보도좋고편리해요,5,20221231221544
2,80,80,빠른검새헛된발걸음하지않아서자주이용합니다,5,20221231212322
5,83,83,이거밖에안써서잘모르겠어요,5,20221231131400
6,84,84,요즘같은고물가시대의필수앱특가숙박많이많이만들어주세요,5,20221231115918
7,85,85,후기평균적으로좋게남기는편인데이번에좋은후기평점보고갓다가너무최악숙소방문해서최악이여도별점점이나주고솔직리뷰를적었는데권리침해신고로글내려간다네요이래서후기가좋은거였나요비방글도아닌솔직후기가아닌좋은후기만남길수없는건데그부분은개선되었으면합니다,3,20221230221246
8,86,86,자주이용하는데너무좋아요,5,20221230184838
9,87,87,필터에애견동반이있어편해요,5,20221230161244
10,88,88,깨끗하고깔끔합니다,5,20221230140651
11,89,89,전기차충전가능여부도추가되었으면더욱좋을꺼같습니다,5,20221230124446
13,91,91,저렴하게이용할수있어좋아요,5,20221230001452
14,92,92,좋음쿠폰많이주묜더사랑하게씅,5,20221229231727
16,94,94,앱은너무좋은데쿠폰이너무조금밖에없는게아쉬워용ㅠㅠ,5,20221229194004
17,95,95,쿠폰이있어서싸게예약했습니다감사합니다,5,20221229184527
19,97,97,사진이나후기도사실에가까운편이고이용하기에도좋아요,5,20221229173243
20,98,98,일정금액이상시할인되는쿠폰으로낚인적이많아화나지만앱은좋습니다,5,20221229164031
21,99,99,간편하고편리해요,5,20221229100546
23,101,101,무료포인트때문에받았는데포인트도안줌쓰레기어플,1,20221228201409
25,103,103,쉽고빠른결제,5,20221228192430
26,104,104,라이브티켓놓쳤는데여기가다싸요,5,20221228164236
29,107,107,매번이용하는데예약도편하고할인혜택도많아서좋아요,5,20221228132553
30,108,108,합리적인가격최고입니다,5,20221228014608
31,109,109,리뷰보고선택,5,20221228004254
34,112,112,특가가좋네요이벤트많이해주세요,5,20221227182214
35,113,113,휴가철이나급해게방을구할때참편안하게구할수있어서좋습니다,3,20221227164525
37,115,115,가족들펜션정보가많음,5,20221227154346
38,116,116,숙소정보한눈에비교선택가능,5,20221227135038
39,117,117,국내최대예약사이트좋아요,5,20221227112637
42,120,120,제일저렴해요,5,20221226222621
43,121,121,참좋은어플이에요쿠폰좀팍팍뿌려주세요,5,20221226221322
44,122,122,호텔선택하기편리합니다,4,20221226185647
45,123,123,여기만쓰는데는이유가있습니다,5,20221226163343
46,124,124,쉽고편해서좋아요,5,20221226140122
47,125,125,도데체업체편만들어고객없이업체만데리고일해보쇼,1,20221226133532
49,127,127,잘이용하고있습니다,5,20221225202035
51,129,129,앱디테일이랑시인성좀올립시다,4,20221225112138
54,132,132,쓰레기어플과상담사크리스마스이브에어렵게예약했는데바퀴벌레나와서뛰쳐나갔습니다야놀자측에별점좋아서믿고예약했지만전화하니까알빠아니라고하네요ㅋㅋ어플삭제합니다,1,20221224231258
57,135,135,가격대비좋지는않아요후기가왜권리침해인가요업체입장에서후기관리해서실고객들불호후기삭제할꺼면후기작성을못하게막아야죠예약하기전에꼭네이버다른숙박사이트리뷰확인하시고예약하세요야놀자에는불호후기가없는이유를알았네요,1,20221224162506
59,137,137,리뷰조작별점조작환뷸규정엉망고객센터무능소비자고발원으로간다,1,20221224124210
60,138,138,가고싶은곳을꼭집어줘요,4,20221224095031
61,139,139,좋아요싸게잘이용했습니당ㅎㅎ,5,20221224092524
62,140,140,아주편함다한번에됨,5,20221224081714
63,141,141,고속버스표끊을수있는거너무편해요오,5,20221224011758
64,142,142,항상이용합니다,5,20221223230936
66,144,144,쉽게예약좋아요,5,20221223210146
67,145,145,할인쿠폰도있고좋아요,5,20221223202723
68,146,146,사용하기편해요,5,20221223164428
69,147,147,설명이거의친절함,4,20221223162500
70,148,148,신속하고편리함,5,20221223123639
71,149,149,이벤트가많아저렴하게즐겁게애용하고있습니다,5,20221223120325
72,150,150,고객센터전화하기도들고날짜는지멋대로초기화되고대응능력도없고날짜초기화되는거자기네도알텐데그리고자꾸평점조절하는듯,1,20221223115726
73,151,151,갠찮은앱이예요,5,20221223105016
74,152,152,간편하고편리하고좋아요,5,20221223103847
76,154,154,야놀자이용해서숙소잡고박했는데여자친구가대자연의날이라실수를함인터넷찾아봤는데숙소비에세탁비가포함되어있어그냥나가도된다길래그냥나갔는데전화와서세탁비만원나온다고해서우선죄송하다정확한견적서를달라그럼제가세탁하든세탁비를드리든지하겠다함근데그아저씨가아무연락없다가일뒤에연락왔는데만원물어달라고하셨는데시간답장안했다고뭐이런거지같은사람들이있냐고해서돈은물어드리겠다고돈보내고거지같은사람들이라고한부분사과하라고함근데연락안함그래서야놀자에전화해서사과받고싶다고함근데자기들은중계업자지그건손님과업소의일이니둘이해결하라고하는거보고진짜어이가없었음다신안씀주변에도홍보중,1,20221222222028
78,156,156,좋아요잘찾아줍니다,5,20221222181348
81,159,159,할인이미쳤다,5,20221222162624
82,160,160,야놀자에서티켓구매가쉽고편해서자주이용합니다,5,20221222110252
83,161,161,많은정보가있어요,4,20221222052408
84,162,162,여행가기전야놀자체크는기본이죠좋은숙소저렴하게이용할수있어좋습니다,5,20221222033107
86,164,164,많은숙박업소와연결되어있어선택의다양성이있어좋아요,5,20221222000924
87,165,165,간편하구좋아요,5,20221221220942
89,167,167,야야야야추우니까놀자야야야야에도놀자야야야야방학이니까놀자,5,20221221185742
91,169,169,많은해택과싼가격에좋았습니다,3,20221221175606
92,170,170,조아조아조이,5,20221221164551
93,171,171,사용이편리해요,5,20221221154719
94,172,172,여기어때랑경쟁붙어서그런지싸네요,5,20221221134635
96,174,174,사용하기편하네요,4,20221221133320
97,175,175,올해초쯤인가숙소이용할때퇴실시간도안됐는데사람있나확인한다고아저씨가문을열어버렷던적이잇엇음남자친구랑나는씻는다고다벗고있었음프론트에서아저씨랑개싸우다가뭐어쩌라는식으로나오길래걍나와서야놀자전화했는데수십통을안받고카톡문의도몇일이지나도록답안해줌근데오늘인스타에서야놀자할인링크뜨길래들어갔더니괜찮고싸서바로예약해버림한분뒤엔가전화와서자기들이금액설정을잘못했다면서취소해야한다고전화오네내가그렇게필요하다할때는전화도안받더니지들손해볼것같으니바로전화오는거보고손절하기로마음먹음지들잘못이면서취소는당연히해야하고보상은없다고함응그래잘먹고잘살아라,1,20221221132447
98,176,176,소비자를보호하는게아니라업체를보호해주네요대실쓴객실청소한다고입실시간시간이넘도록입실안시켜주는곳이라고리뷰남기니권리침해신고하네요평점낮게준리뷰는업체에서전부삭제해버리는곳은신경써서관리해주세요,1,20221221131752
99,177,177,뭐숙소나어플쪽이나지들이관리제대로못하고왜소비자들한테피해끼치는지가격을잘못적었으면예약했을때다시전화줘서말해주던가예약하고몇일뒤에잘못된거라고취소하던지돈더내고자던지선택지던져주는건뭐임심지어환불도최소일걸리는게뭐지노답어플에노답숙소모여있나,1,20221221125051
101,179,179,빠르고간편하고천절하고편리해요,5,20221221103517
104,182,182,편해서아주좋습니다,5,20221221024328
105,183,183,예약이정말쉬워요굿,5,20221221011752
106,184,184,잘이용하고있습니다고맙습니다,5,20221220214633
108,186,186,객실컨디션굿입니다넓고쾌적한숙박함안여행에필수숙박너무좋아요,5,20221220210715
110,188,188,짝짓기에최적화된최고의어플,5,20221220164629
111,189,189,숙박좋은곳알려주고쿠폰도너무좋아요,5,20221220161314
113,191,191,젤저렴하게이용가능한곳인듯,5,20221220151849
116,194,194,좋아요편해요싸요,5,20221220000202
117,195,195,좋아요자세한설명도요,5,20221219223836
118,196,196,ㅋㅋ최악의어플인듯진짜비하할려고쓰는글은아닌데지역을자동으로설정되서ㅡㅡ엄한서울모텔을예약해서내가진짜만원날림참고로전전라도임ㅋㅋ당일취소가안된대ㅋㄱㅋ아니이럴경우무슨대책을내놔야하는게맞는데미ㅊ방법이없대ㅡㅡ예약하고한시간지나기전에취소를눌러야하는데내가누르지않앗다는책임하도있긴있는데아니서울까지그냘ㅇㅓ찌가냐고요ㅡㅡ여기는환불잘안해줌진짜열받는개놀자임,1,20221219222517
121,199,199,요즘여행갈때돈이없을때사용하기쉬운것같습니다,2,20221219193250
122,200,200,아주괜찮고편한앱이에요,5,20221219192414
123,201,201,업체가많은듯,5,20221219190134
124,202,202,편하게쓰고있엉ㄷ,5,20221219174258
125,203,203,국내숙박업소놀이시설입장권등예약하기편하고믿을수있어좋아요,4,20221219154355
127,205,205,일단정보가좋아요,4,20221219134405
128,206,206,여행갈때마다잘쓰고있습니다,5,20221219125902
129,207,207,스키장리프트권할인좋아요,5,20221219125843
130,208,208,편하게잘쉬다가왔어요,5,20221219112735
133,211,211,아직처음사용해잘모르지만많이사용하면서기능개선사항수시로적어보겠습니다,4,20221218174024
135,213,213,쿠판만원이나주더니좋아요,5,20221218124529
137,215,215,야놀자항상최고입니다,5,20221218085333
138,216,216,뭔지잘이해가안됨,4,20221218054300
139,217,217,엄청좋코친절합니당ㅎㅎㅎ,5,20221217223836
140,218,218,많은숙소많은후기,5,20221217200918
141,219,219,네다라리라란디다라,5,20221217190212
144,222,222,최악의어플잘못사용하면돈만먹고환불불가하다원날리고빡쳐서내가두번다시사용하지말기위해리뷰한다숙소가격이만원이상넘어가면신중하게고려하길바란다로그아웃도안했는데비회원결제PC결제가됬다니우리집컴퓨터도없이지낸지가년이지났는데ㅋㅋㅋ물론내가예약취소할때목록에있는지확인을하지않은건잘못인데결제후예약내역에없었다면문제있는거아닌가그리고회원인데비회원으로결제됬으면시스템상회원인데비회원으로결제하겠냐고한번물어봐야하는거아니냐아무리말해도절대로손해볼생각도없이고객탓어플여기부정적인리뷰는대부분진짜인거같다나랑비슷한경우가있는거보니말이다기존에예약되어있는거연말끼지있으니다사용하면에어비엔비나여기어때사용할련다,1,20221217140623
145,223,223,스벅만원쿠폰당첨대박ㅋㅋ,5,20221217124925
149,227,227,놀자를오래전부터활용하고있어요,5,20221216204034
152,230,230,편하고좋아요,5,20221216161540
154,232,232,역시펜션예약은야놀자가좋아,5,20221216130731
155,233,233,할인혜택이좋아요,5,20221216122757
159,237,237,편하고오류가없음,5,20221216045951
161,239,239,야놀자가딴곳보다싸네요,5,20221215231015
164,242,242,편리하고쿠폰사용이좋음,5,20221215165645
165,243,243,자세하고좋습니당,5,20221215132548
166,244,244,앱사용편리해졌네요,5,20221215113505
167,245,245,ㅇㄱㅇㄸ에비해사용하기편해서사용중인데숙소점수를좀개편했으면좋겠습니다평점높아서가보면숙소가개판인경우가반쯤됩니다근데리뷰에써봤자소용이없습니다점수가반영이별로안되는건둘째치고리뷰보기가불편해서적어도안봐요보는입장에서도그런솔직한리뷰보고싶은데그냥최신기준으로만나오니까볼수가없구요업주들도이런거알아서서비스무례한경우가태반이었습니다리뷰안무서워하는업종은숙박업밖에없을듯,4,20221215110016
168,246,246,숙박이용놀이공원이용에도야놀자죠,5,20221215090426
171,249,249,좋은방많이있네요,5,20221214201800
173,251,251,그래도보기싶게잘해놨네요,5,20221214151930
175,253,253,객실예약은야놀자,5,20221214012004
178,256,256,레저할인혜택좋아요,5,20221213103901
180,258,258,사용하기간편하고좋아요,5,20221212172631
182,260,260,진짜최악이네요,1,20221212162505
185,263,263,항상잘사용하고있습니다,5,20221212140523
187,265,265,야놀자좋아요,5,20221212121422
188,266,266,통영가족여행가서금호리조트박하고중앙시장서생선회충무김밥통영꿀빵먹고바닷가둘렛길돌고왔어요올때는꿀빵도선물용으로사고너무좋아서또가고싶네요야놀자에서선택을잘한거같아요야놀자너무좋아요,5,20221212100739
189,267,267,편리하고좋습니다,5,20221212093919
192,270,270,할인쿠폰으로할인받아싸고좋아요,4,20221212004457
193,271,271,쓸만함돠ㅎㅎㅎㅎ,5,20221211222258
194,272,272,초특가야놀자,5,20221211215809
195,273,273,예앜잡기편해,5,20221211211933
196,274,274,간편하게예약했어요,5,20221211210330
197,275,275,항상야놀자이용함편리함,4,20221211182655
199,277,277,대명산등산을하고있는데원거리숙소예약으로잘활용하고있습니다,5,20221211165655
200,278,278,잘사용하고있어요,5,20221211121910
201,279,279,잘사용하는중,4,20221211095051
202,280,280,아주유용하게잘쓰고있어요,5,20221211051840
203,281,281,부산서면유나호텔여자친구혼자먼저가있는상황에춥고그래서춥다고했더니중앙난방이라고원래그런다고그래서침대에누워있다가너무추워서옷껴입을려고일어나다가머리카락뭉텅이여러군데나와서바꿔달라니까안바꿔준다고청소하는사람이잘못한거지자기가잘못한거아니라고이게할말입니까그래서여기일하는사람아니냐고돈내고이용하는데춥고더럽고방을바꿔주던지환불을해주던지조치를취해줘야하는거아니냐고했더니마음데로하라고바꿔줄수없고환불안된다고그래서남자인내가전화해서바꿔달라니까짜증부리더니바꿔준다고여자라고무시하더니남자인내가따지니까마지못해바꿔준다고야놀자에전화해서환불신청했더니안해준다고시간사용했다고그래서시간사용한거까고환불해달라고했더니그것도안된다고야놀자에선무조건이해해달라고만하고야놀자에선어떻게해줄수없다고만하고더웃긴고기분나쁜건바꿔준방따뜻하다고여자친구혼자있는데너무미안해,1,20221210234241
204,282,282,처음이용하는데서치하기좋네요,4,20221210203631
206,284,284,편하고좋아요애용중,5,20221210193053
207,285,285,좋아용ㅎㅎㅎ,5,20221210155128
208,286,286,편합니다아아아조아요,5,20221210141352
209,287,287,편리하게예약가능하니좋아오,5,20221210134215
211,289,289,설명이상세해서좋습니다,5,20221210113938
212,290,290,세상엔왜거짓말쟁이들이많을까요,1,20221210113931
213,291,291,이벤트많아서좋음,5,20221210102342
214,292,292,편하긴편하네요,4,20221209233044
215,293,293,가끔씩할인좋아요,5,20221209225407
216,294,294,지역에서세분화검색원합니다,4,20221209183647
219,297,297,간편해서좋아요,5,20221209121549
224,302,302,선택할수있는곳이다양해요,5,20221209015955
225,303,303,걍험사유에선택,5,20221208232014
