,date,date.1,content,score,at
1,29,29,조용해서좋앟어요,5,20221231110753
3,31,31,좋습니다정말많은정보를확인할수있습니다감사합니다,5,20221230222048
4,32,32,쿠폰도많이주시고이용하기편리한거같아여,5,20221230092459
5,33,33,업데이트하고네이버로로그인하려는데네이버버튼아무리눌러도반응이없어서로그인못하고있어요카카오톡로그인누름가입하는거바로뜨던데,3,20221229135712
6,34,34,예약이편해요,5,20221229124914
8,36,36,광고만오지게때리고해외숙소는이름검색도제대로안됨얘넨진짜사용자들이뭘필요로하는지생각을전혀못하는듯,1,20221228214433
9,37,37,편하게호텔을예약하는건좋은데리뷰작성할때별점이멋대로최고점으로바뀌네요예를들어서비스점서비스점서비스점이렇게리뷰를남기면자동으로모든서비스가점으로바껴서등록됩니다다시수정해도중간에딴거누르면다시모든항목최고점으로찍니다딱정확하게별점만수정해야합니다이러니까내가본안좋았던호텔도별점이높게나온게아닐까하는의심이드네요별점신뢰를못하겠어요,3,20221228172928
10,38,38,야놀자처럼금연객실선택항목이있었으면좋겠어요,4,20221228124211
12,40,40,왜내가쓴리뷰가지워져있을까요업체가삭제가능하게설정하신건지고객들이알아야하는부분은알아야하지않을까요리뷰지워달라해서일처리하는거보고결정하겠다했더니삭제되어있네요여기어때도믿지를못하겠네요,1,20221228072400
13,41,41,숙박예약이다찼을때는원으로표시되다그거보고타플랫폼에서예약취소하고다시여기어때로들어오니원으로타플랫폼과같은금액이되어있네요우리사기는치지맙시다,1,20221227165451
15,43,43,진짜쓰레기앱맞군요와광고를그리해대길래뭐좀하려나기대했건만일단검색기능은단연세계최악입니다인원입력해도무관검색박글릭방법도없이무조건박검색아타이핑이아깝다,1,20221226172034
16,44,44,문의사항등답변이신속하고정확해요,5,20221226170829
17,45,45,숙박예약은여기어땡,5,20221226162319
19,47,47,편리하게잘사용하고있어요,5,20221225135628
24,52,52,딱한번이용할려고비용을지불했는데취소가안돼서쌩돈을날리고벌점개도아까운사회악앱임을,1,20221224060016
25,53,53,좋아좋아좋아,5,20221224000559
26,54,54,리퍼링이심함,1,20221223155928
28,56,56,좀싸게예약했더니서버문제로싸게예약된거라면서거의반강제식으로예약취소하라고자꾸전화옴자기네잘못으로이상황이온것임에도불구하고아무런보상없이취소를계속요청함취소는하겠으나어떤혜택을준다해도다신쓰기싫음좀비싸더라도야놀자가최고인듯,1,20221222180351
29,57,57,깨끗하고편하게쉴수있고서비스도좋아요,5,20221222165000
32,60,60,결제오류번뜸슬퍼요,2,20221222002808
35,63,63,앱구동이안됨번삭제하고설치함,1,20221221125123
37,65,65,포인트그거얼마한다고차감을하냐ㅋㅋ어이가없네,1,20221221092721
40,68,68,제발로그인할때카톡계정을선택할수있게해주세요전에쓰던계정이랑지금카톡이랑달라서로그인을할수가없어요,5,20221220182032
41,69,69,처음써보는앱인데예약하기결제하기복잡하지않고편리하고쉬워서좋네요,4,20221220172727
44,72,72,처음시작하는것입니다많은격려부탁드립니다감사합니다고맙습니다,5,20221220060402
45,73,73,보이지도않게조건슥넣어놓고일뒤예약건을시간이내에만취소할수있게해놓음여기어때횡포심해짐널리퍼트리자,1,20221220004033
51,79,79,앱과는별개로운영이미흡합니다기후악화로인한비행기결항같은경우는숙박랜트카식당등모두전액환불이법으로명시되어있는데도폭설로인한교통마비는규정에없다면서환불은나몰라라합니다언젠가이런규정으로환불안되는게아까워누군가는기상악화속에서도이동하다가참사가벌어질수도있을것같아안타깝습니다,1,20221218132127
52,80,80,여기어때동대구리더스모텔예약을했습니다이미결제가다되고일전예약이된상황이고새벽시에잠만자기위해들어갔는데폰충전중부재중전화통을와있는데일방적취소했습니다어플은취소안내나전화안내도없었고모텔측은어플내에서안내전화나문자전송했다고했습니다만받은내역일절없고그자리에서모탤측인정했습니다지금이시간글쓰는내에도안내일절없습니다장난합니까문자전송오후시에왔습니다인증캡쳐내역있고현장에서직원분이어플측으로연랃한다했습니다조취내역좀안내바랍니다새벽겨울영하내에서돌아다니게해서참어이없습니다,1,20221218045341
53,81,81,자주이용하는어풀인데할인도좋고넘편안하게이용하네요,5,20221217191530
54,82,82,포인트취득시보험약관처럼깨알같은내용을적어놓고취소때는왜그깨알같은안내도없고취소가능하게해놔서쿠폰도사라지고포인트도사라졌는데어쩔수없다는데니참나안내부족아닌가요상담전화는몇십분이나했는데확인까지이틀이나걸린다고하면서엄포를놓으면서포인트쿠폰은다시복구도안되고빛의속도로사라졌다고하네요다른구매건으로사용하려다기존쿠폰도사라지고포인트도사라지고맘만상하네요아이와놀러다니고유용하게사용해야지했는데이번건만구매하고다신이용을안해야겠어요그리고꼭포인트취득시꼭확인하세요는왜클릭해야볼수있게해놓고광고하단제일밑에쉼겨놓았나요제돈주고살라면네이버나인터파크에서사지조금이라도할인혜택받을려고어플이용한건데안내도부실하고혜택도별로네요,1,20221217183447
56,84,84,너무빠르고좋아요,5,20221217105856
57,85,85,예약당일교통사고로당일취소하려고문의했으나규정상무슨일이있어도당일취소는환불이안된다고규정이그렇다고함사고접수번호사진증거자료도말했으나그런것고소용이없음그냥쌩양아치어플규정임,1,20221217102217
58,86,86,너무좋아서다음에도또또,5,20221216182249
59,87,87,월일에예약한월일숙박건을달이상지난월일현재이제서야오류였다며취소하게만들고다시들어가보니두배가까이가격이되어있고어처구니가없습니다그냥이제확인해보니예약가가너무저렴했었다고사기좀치겠다고하세요ㅋㅋㅋㅋ다른고객도똑같은상황이라고말씀하시던데그걸안다고내가덜괴로운게아니예요일주일남았는데무슨수로구하라는건지쿠폰발급도늦어지네요언제일지알수가없다네요정말훌륭하십니다,1,20221216162343
60,88,88,시입실인데시취소안되는게말이되니그럼입실분전에시켜줌진짜사칙운운하면서안된다고딱잡아떼는거역겨움방에들어가지도못하는데취소도안된대사장이취소해주라해도안된대ㅁㅊ,1,20221215182321
61,89,89,고작만원해쳐먹을라고정당한취소요구에도이악물고규정징징대면서푼돈뜯어먹을라고발악하는양아치새끼들,1,20221215182038
62,90,90,제가이번에년월일부산광안리불꽃축제갈려고월일날에광안리투헤븐호텔예약을했는데가격이만원이미결제된상태이고그리고예약취소불가능이다고하길레일일앞당겨두고어플을투헤븐숙박객실보니깐만원이라고하고고객센터전화해봤지만변경불가능하고취소불가능하고제가만원손해보고광안리불꽃축보러갑니다그뒤로이어플안씁니다완전히바가지씌웠네요ㅡㅡ,1,20221215160706
65,93,93,외국인이지만사용하기쉬어서좋습니다,5,20221214163042
66,94,94,해외호텔최저가보장써있지만최저가아님모든호텔인것처럼아이콘에적어두고일부만이라고답변박당만원대호텔환불불가가격이호텔스o컴보다만원비싸고심지어타회사의무료취소가격보다도비쌈해결해준것없음,1,20221214121837
67,95,95,이용하기편해용,5,20221214110256
69,97,97,믿고가볼께요,5,20221213214010
72,100,100,처리속도가빠릅니다,5,20221213133235
73,101,101,검색하기좋으네요,5,20221212205200
74,102,102,몇가지여행어플을갖고있지만여기어때를자주사용하고있습니다,5,20221212141430
76,104,104,너무쉽게숙소를저렴한가겍에구입할수있어좋았어요,5,20221212085845
77,105,105,예전에한번쓰고근년만에다시쓰는데변함없이서비스엉망휴대폰인증은계속오류에고쳐지지않는앱때문에예약확인및취소도못함년전오류를지금까지안고침전날밤에취소하려고했으나해당오류로취소못했는데고객센터는어제연락못줬으니취소안된다고만함그럼휴대폰인증을고치던가요이건무슨이용자잘못식으로만둘러대니저처럼인증못해피해입은분들많은데대답은그저형식적인매크로식답변앱을인증조차안되게거지같이만들어놓고소비자탓식으로할거면애당초일전취소규정을없애시지이용자를호구로아나그냥탈퇴삭제하고앞으로야놀자쓰는게답고객센터분들고생하시는건알지만회사자체에실망입니다해당이야기는너무어이없어서유튜브에제보함다른숙박앱추천함,1,20221211212139
79,107,107,빠른정보좋은숙소에감사,5,20221211112707
80,108,108,많이고맙습니다덕분에얼어죽을뻔했는데무사히잘왔습니다,5,20221211014529
